Year,Data type,Sex,NHHA priority cohort,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2022-23,Proportion of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),79.0,76.7,77.2,79.5,81.2,n.p.,n.p.,82.4,78.2
2022-23,Proportion of clients that avoided homelessness,Males,Children and young people,82.9,77.8,81.0,80.7,84.4,n.p.,n.p.,84.0,80.4
2022-23,Proportion of clients that avoided homelessness,Males,Indigenous Australians,81.5,69.4,77.6,83.4,81.7,n.p.,n.p.,80.8,78.1
2022-23,Proportion of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,55.0,69.5,50.2,n.p.,62.1,n.p.,n.p.,n.p.,65.7
2022-23,Proportion of clients that avoided homelessness,Males,Older people,85.3,84.0,84.2,92.6,86.2,n.p.,n.p.,n.p.,84.9
2022-23,Proportion of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),79.3,77.4,78.3,78.2,84.0,72.7,77.3,81.1,78.3
2022-23,Proportion of clients that avoided homelessness,All clients,Children and young people,80.9,76.7,80.1,80.8,83.3,66.4,75.2,82.7,79.2
2022-23,Proportion of clients that avoided homelessness,All clients,Indigenous Australians,79.9,72.0,79.2,81.7,77.9,n.p.,n.p.,82.3,78.3
2022-23,Proportion of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,59.6,65.4,53.9,63.8,62.5,n.p.,n.p.,n.p.,63.0
2022-23,Proportion of clients that avoided homelessness,All clients,Older people,87.9,87.3,86.9,91.6,88.9,79.8,n.p.,85.8,87.7
2022-23,Number of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),"2,723","4,901","1,386","1,601",979,86,97,"1,009","12,691"
2022-23,Number of clients that avoided homelessness,Females,Children and young people,"2,692","3,183","1,361","1,123",822,55,56,517,"9,765"
2022-23,Number of clients that avoided homelessness,Females,Indigenous Australians,"1,952","1,545","1,570","2,273",425,57,34,"1,198","8,988"
2022-23,Number of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,221,374,83,55,64,n.p.,n.p.,n.p.,843
2022-23,Number of clients that avoided homelessness,Females,Older people,687,"1,620",387,482,168,56,37,81,"3,514"
2022-23,Number of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),708,"1,108",288,330,190,n.p.,n.p.,210,"2,840"
2022-23,Number of clients that avoided homelessness,Males,Children and young people,"2,073","2,771","1,073",805,615,24,35,279,"7,654"
2022-23,Number of clients that avoided homelessness,Males,Indigenous Australians,"1,083",800,684,"1,117",219,n.p.,n.p.,277,"4,182"
2022-23,Number of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,215,"2,003",110,56,118,26,n.p.,35,"2,567"
2022-23,Number of clients that avoided homelessness,Males,Older people,412,"1,185",256,275,112,43,n.p.,n.p.,"2,301"
2022-23,Number of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),"3,431","6,009","1,674","1,931","1,169",88,109,"1,219","15,531"
2022-23,Number of clients that avoided homelessness,All clients,Children and young people,"4,765","5,954","2,434","1,928","1,437",79,91,796,"17,419"
2022-23,Number of clients that avoided homelessness,All clients,Indigenous Australians,"3,035","2,345","2,254","3,390",644,73,40,"1,475","13,170"
2022-23,Number of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,436,"2,377",193,111,182,45,28,54,"3,410"
2022-23,Number of clients that avoided homelessness,All clients,Older people,"1,099","2,805",643,757,280,99,50,91,"5,815"
2022-23,Number of At risk clients,Females,Women and children affected by family and domestic violence(a),"3,430","6,321","1,764","2,053","1,157",119,129,"1,249","16,196"
2022-23,Number of At risk clients,Females,Children and young people,"3,392","4,201","1,716","1,389",997,82,77,631,"12,469"
2022-23,Number of At risk clients,Females,Indigenous Australians,"2,468","2,106","1,965","2,809",559,65,49,"1,449","11,467"
2022-23,Number of At risk clients,Females,People exiting institutions and care into homelessness,340,753,139,89,101,35,24,27,"1,505"
2022-23,Number of At risk clients,Females,Older people,767,"1,801",436,529,185,69,40,92,"3,919"
2022-23,Number of At risk clients,Males,Women and children affected by family and domestic violence(a),896,"1,445",373,415,234,n.p.,12,255,"3,631"
2022-23,Number of At risk clients,Males,Children and young people,"2,501","3,560","1,324",998,729,37,44,332,"9,523"
2022-23,Number of At risk clients,Males,Indigenous Australians,"1,329","1,152",882,"1,339",268,27,11,343,"5,355"
2022-23,Number of At risk clients,Males,People exiting institutions and care into homelessness,391,"2,883",219,85,190,57,26,55,"3,905"
2022-23,Number of At risk clients,Males,Older people,483,"1,411",304,297,130,55,18,14,"2,711"
2022-23,Number of At risk clients,All clients,Women and children affected by family and domestic violence(a),"4,326","7,766","2,137","2,468","1,391",121,141,"1,504","19,827"
2022-23,Number of At risk clients,All clients,Children and young people,"5,893","7,761","3,040","2,387","1,726",119,121,963,"21,992"
2022-23,Number of At risk clients,All clients,Indigenous Australians,"3,797","3,258","2,847","4,148",827,92,60,"1,792","16,822"
2022-23,Number of At risk clients,All clients,People exiting institutions and care into homelessness,731,"3,636",358,174,291,92,50,82,"5,410"
2022-23,Number of At risk clients,All clients,Older people,"1,250","3,212",740,826,315,124,58,106,"6,630"
2021-22,Proportion of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),80.9,77.7,81.9,77.2,86.0,69.8,n.p.,78.5,79.2
2021-22,Proportion of clients that avoided homelessness,Females,Children and young people,80.4,75.3,82.5,78.7,85.3,n.p.,n.p.,84.0,79.1
2021-22,Proportion of clients that avoided homelessness,Females,Indigenous Australians,80.5,72.5,81.1,81.2,82.3,n.p.,n.p.,81.5,79.0
2021-22,Proportion of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,63.1,52.6,58.3,n.p.,64.7,n.p.,n.p.,n.p.,57.0
2021-22,Proportion of clients that avoided homelessness,Females,Older people,93.0,88.8,92.4,90.6,92.9,n.p.,n.p.,n.p.,90.3
2021-22,Proportion of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),80.2,77.2,84.0,66.5,81.8,n.p.,n.p.,81.1,78.2
2021-22,Proportion of clients that avoided homelessness,Males,Children and young people,83.5,75.9,84.6,79.0,85.9,n.p.,n.p.,87.0,80.7
2021-22,Proportion of clients that avoided homelessness,Males,Indigenous Australians,80.4,66.5,80.1,83.0,87.6,n.p.,n.p.,84.9,79.1
2021-22,Proportion of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,60.5,64.0,56.7,50.8,70.5,n.p.,n.p.,n.p.,62.3
2021-22,Proportion of clients that avoided homelessness,Males,Older people,88.6,84.4,83.2,91.8,85.7,n.p.,n.p.,n.p.,85.4
2021-22,Proportion of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),80.8,77.6,82.3,75.7,85.4,67.9,84.0,79.0,79.0
2021-22,Proportion of clients that avoided homelessness,All clients,Children and young people,81.7,75.6,83.4,78.8,85.6,66.4,75.5,85.3,79.8
2021-22,Proportion of clients that avoided homelessness,All clients,Indigenous Australians,80.5,70.6,80.7,81.8,84.2,n.p.,n.p.,82.5,79.1
2021-22,Proportion of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,61.8,61.2,57.3,50.5,68.3,n.p.,n.p.,68.5,60.7
2021-22,Proportion of clients that avoided homelessness,All clients,Older people,91.4,86.9,88.6,91.1,89.9,88.6,n.p.,n.p.,88.3
2021-22,Number of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),"3,229","5,699","1,515","1,632","1,321",74,76,"1,008","14,465"
2021-22,Number of clients that avoided homelessness,Females,Children and young people,"2,994","3,540","1,592","1,129",999,63,55,712,"11,038"
2021-22,Number of clients that avoided homelessness,Females,Indigenous Australians,"2,184","1,512","1,664","2,182",580,53,25,"1,302","9,437"
2021-22,Number of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,212,419,88,44,66,n.p.,21,38,893
2021-22,Number of clients that avoided homelessness,Females,Older people,633,"1,609",424,424,195,77,n.p.,71,"3,439"
2021-22,Number of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),784,"1,132",341,242,216,n.p.,n.p.,244,"2,964"
