Year,Data type,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2021-22,Number of clients that avoided homelessness,All clients,0 to 9,"1,994","2,479","1,271",831,684,n.p.,n.p.,467,"7,728"
2021-22,Number of clients that avoided homelessness,All clients,10 to 14,963,"1,047",514,359,295,n.p.,n.p.,372,"3,556"
2021-22,Number of clients that avoided homelessness,All clients,15 to 17,764,623,310,196,216,n.p.,n.p.,208,"2,330"
2021-22,Number of clients that avoided homelessness,All clients,18 to 24,"1,573","2,110",757,524,518,61,51,240,"5,796"
2021-22,Number of clients that avoided homelessness,All clients,25 to 34,"1,713","4,458","1,102","1,080",846,112,99,328,"9,675"
2021-22,Number of clients that avoided homelessness,All clients,35 to 44,"1,815","4,546","1,053","1,062",757,114,84,263,"9,641"
2021-22,Number of clients that avoided homelessness,All clients,45 to 54,"1,215","3,154",697,787,441,92,28,123,"6,518"
2021-22,Number of clients that avoided homelessness,All clients,55 to 64,603,"1,608",435,427,215,66,n.p.,58,"3,411"
2021-22,Number of clients that avoided homelessness,All clients,65+,364,"1,112",251,266,106,58,n.p.,24,"2,194"
2021-22,Number of clients that avoided homelessness,All clients,Total,"11,004","21,137","6,390","5,532","4,078",525,314,"2,083","50,849"
2021-22,Number of At risk clients,Females,0 to 9,"1,193","1,572",712,567,387,2,4,277,"4,709"
2021-22,Number of At risk clients,Females,10 to 14,570,645,287,203,154,2,4,200,"2,064"
2021-22,Number of At risk clients,Females,15 to 17,579,458,252,144,178,12,8,122,"1,751"
2021-22,Number of At risk clients,Females,18 to 24,"1,382","2,024",678,521,452,72,58,249,"5,430"
2021-22,Number of At risk clients,Females,25 to 34,"1,700","4,066","1,065","1,044",811,116,93,409,"9,281"
2021-22,Number of At risk clients,Females,35 to 44,"1,682","3,912",952,984,690,98,69,309,"8,683"
2021-22,Number of At risk clients,Females,45 to 54,981,"2,465",578,638,364,70,20,134,"5,247"
2021-22,Number of At risk clients,Females,55 to 64,434,"1,114",311,308,152,47,9,58,"2,431"
2021-22,Number of At risk clients,Females,65+,247,698,148,161,58,36,9,22,"1,379"
2021-22,Number of At risk clients,Females,Total,"8,768","16,954","4,983","4,570","3,246",455,274,"1,780","40,975"
2021-22,Number of At risk clients,Males,0 to 9,"1,156","1,604",747,548,419,6,7,300,"4,783"
2021-22,Number of At risk clients,Males,10 to 14,528,642,289,219,171,3,6,208,"2,066"
2021-22,Number of At risk clients,Males,15 to 17,439,375,153,90,81,4,7,104,"1,253"
2021-22,Number of At risk clients,Males,18 to 24,633,963,301,132,160,24,12,49,"2,272"
2021-22,Number of At risk clients,Males,25 to 34,412,"1,830",309,259,214,55,33,37,"3,147"
2021-22,Number of At risk clients,Males,35 to 44,458,"2,077",365,290,228,64,34,19,"3,535"
2021-22,Number of At risk clients,Males,45 to 54,419,"1,549",304,290,167,56,19,20,"2,824"
2021-22,Number of At risk clients,Males,55 to 64,234,796,191,174,93,31,6,13,"1,539"
2021-22,Number of At risk clients,Males,65+,143,521,124,118,54,26,5,4,996
2021-22,Number of At risk clients,Males,Total,"4,422","10,357","2,783","2,120","1,587",269,129,754,"22,415"
2021-22,Number of At risk clients,All clients,0 to 9,"2,349","3,176","1,459","1,115",806,8,11,577,"9,492"
2021-22,Number of At risk clients,All clients,10 to 14,"1,098","1,287",576,422,325,5,10,408,"4,130"
2021-22,Number of At risk clients,All clients,15 to 17,"1,018",833,405,234,259,16,15,226,"3,004"
2021-22,Number of At risk clients,All clients,18 to 24,"2,015","2,987",979,653,612,96,70,298,"7,702"
2021-22,Number of At risk clients,All clients,25 to 34,"2,112","5,896","1,374","1,303","1,025",171,126,446,"12,428"
2021-22,Number of At risk clients,All clients,35 to 44,"2,140","5,989","1,317","1,274",918,162,103,328,"12,218"
2021-22,Number of At risk clients,All clients,45 to 54,"1,400","4,014",882,928,531,126,39,154,"8,071"
2021-22,Number of At risk clients,All clients,55 to 64,668,"1,910",502,482,245,78,15,71,"3,970"
2021-22,Number of At risk clients,All clients,65+,390,"1,219",272,279,112,62,14,26,"2,375"
2021-22,Number of At risk clients,All clients,Total,"13,190","27,311","7,766","6,690","4,833",724,403,"2,534","63,390"
2020-21,Proportion of clients that avoided homelessness,Females,0 to 9,86.0,80.0,84.7,80.3,87.9,n.p.,n.p.,74.9,82.3
2020-21,Proportion of clients that avoided homelessness,Females,10 to 14,82.8,81.5,86.3,83.4,87.8,n.p.,n.p.,82.9,83.3
2020-21,Proportion of clients that avoided homelessness,Females,15 to 17,73.4,73.9,78.1,75.7,83.1,n.p.,n.p.,87.1,75.3
2020-21,Proportion of clients that avoided homelessness,Females,18 to 24,75.4,69.4,76.7,75.2,80.3,n.p.,n.p.,78.0,73.1
2020-21,Proportion of clients that avoided homelessness,Females,25 to 34,82.6,77.1,76.3,78.4,80.7,73.2,72.1,77.9,77.9
2020-21,Proportion of clients that avoided homelessness,Females,35 to 44,84.7,80.1,78.7,80.4,81.3,n.p.,n.p.,79.3,80.5
2020-21,Proportion of clients that avoided homelessness,Females,45 to 54,88.8,84.4,82.4,82.4,83.2,n.p.,n.p.,82.8,84.2
2020-21,Proportion of clients that avoided homelessness,Females,55 to 64,88.3,87.8,87.2,88.0,n.p.,n.p.,n.p.,n.p.,87.7
2020-21,Proportion of clients that avoided homelessness,Females,65+,92.1,92.8,89.6,90.3,n.p.,n.p.,n.p.,n.p.,91.8
2020-21,Proportion of clients that avoided homelessness,Females,Total,82.7,79.4,80.3,80.4,83.0,74.9,75.4,79.3,80.2
2020-21,Proportion of clients that avoided homelessness,Males,0 to 9,85.4,79.1,83.6,78.4,86.9,n.p.,n.p.,79.3,81.7
2020-21,Proportion of clients that avoided homelessness,Males,10 to 14,86.8,85.7,88.1,79.5,88.6,n.p.,n.p.,n.p.,86.1
2020-21,Proportion of clients that avoided homelessness,Males,15 to 17,76.0,79.1,76.8,80.5,n.p.,n.p.,n.p.,n.p.,78.1
2020-21,Proportion of clients that avoided homelessness,Males,18 to 24,76.1,68.3,79.9,79.9,78.8,n.p.,n.p.,n.p.,73.3
2020-21,Proportion of clients that avoided homelessness,Males,25 to 34,77.0,68.8,73.7,75.9,75.7,n.p.,n.p.,n.p.,70.8
2020-21,Proportion of clients that avoided homelessness,Males,35 to 44,78.0,66.8,71.3,82.6,70.9,n.p.,n.p.,n.p.,70.1
2020-21,Proportion of clients that avoided homelessness,Males,45 to 54,84.3,68.8,78.4,81.3,68.2,n.p.,n.p.,n.p.,73.3
2020-21,Proportion of clients that avoided homelessness,Males,55 to 64,88.9,79.3,79.6,92.7,n.p.,n.p.,n.p.,n.p.,82.9
2020-21,Proportion of clients that avoided homelessness,Males,65+,89.4,88.6,n.p.,93.7,n.p.,n.p.,n.p.,n.p.,88.3
2020-21,Proportion of clients that avoided homelessness,Males,Total,81.9,73.0,80.0,81.3,80.2,67.8,75.7,77.4,76.9
2020-21,Proportion of clients that avoided homelessness,All clients,0 to 9,85.7,79.5,84.1,79.4,87.3,n.p.,n.p.,77.3,82.0
2020-21,Proportion of clients that avoided homelessness,All clients,10 to 14,84.7,83.6,87.2,81.7,88.2,n.p.,n.p.,85.8,84.7
2020-21,Proportion of clients that avoided homelessness,All clients,15 to 17,74.5,76.0,77.6,77.6,83.6,n.p.,n.p.,88.5,76.4
2020-21,Proportion of clients that avoided homelessness,All clients,18 to 24,75.6,69.0,77.7,76.4,79.9,65.6,n.p.,77.2,73.2
2020-21,Proportion of clients that avoided homelessness,All clients,25 to 34,81.5,74.4,75.7,77.9,79.5,68.5,72.0,75.2,76.0
2020-21,Proportion of clients that avoided homelessness,All clients,35 to 44,83.0,75.3,76.8,80.9,78.6,71.1,n.p.,78.0,77.4
2020-21,Proportion of clients that avoided homelessness,All clients,45 to 54,87.4,78.6,81.1,82.0,78.7,75.0,n.p.,79.0,80.4
2020-21,Proportion of clients that avoided homelessness,All clients,55 to 64,88.6,84.4,84.5,89.8,88.1,n.p.,n.p.,n.p.,85.8
2020-21,Proportion of clients that avoided homelessness,All clients,65+,91.1,91.1,85.7,91.8,n.p.,n.p.,n.p.,n.p.,90.3
2020-21,Proportion of clients that avoided homelessness,All clients,Total,82.4,77.0,80.2,80.7,82.0,72.1,75.5,78.7,79.0
2020-21,Number of clients that avoided homelessness,Females,0 to 9,985,"1,335",618,465,283,n.p.,22,206,"3,907"
2020-21,Number of clients that avoided homelessness,Females,10 to 14,510,492,276,216,115,n.p.,n.p.,107,"1,722"
2020-21,Number of clients that avoided homelessness,Females,15 to 17,502,396,207,134,113,n.p.,n.p.,88,"1,459"
2020-21,Number of clients that avoided homelessness,Females,18 to 24,"1,140","1,418",554,375,338,55,47,220,"4,117"
2020-21,Number of clients that avoided homelessness,Females,25 to 34,"1,386","3,065",814,756,538,82,80,307,"6,977"
2020-21,Number of clients that avoided homelessness,Females,35 to 44,"1,331","2,858",727,673,475,63,51,245,"6,374"
2020-21,Number of clients that avoided homelessness,Females,45 to 54,897,"1,953",445,434,252,40,31,130,"4,157"
2020-21,Number of clients that avoided homelessness,Females,55 to 64,364,905,224,250,83,36,n.p.,53,"1,919"
2020-21,Number of clients that avoided homelessness,Females,65+,210,545,103,131,42,25,n.p.,n.p.,"1,081"
2020-21,Number of clients that avoided homelessness,Females,Total,"7,325","12,967","3,968","3,434","2,239",313,269,"1,372","31,713"
2020-21,Number of clients that avoided homelessness,Males,0 to 9,"1,049","1,361",656,454,344,n.p.,n.p.,257,"4,133"
2020-21,Number of clients that avoided homelessness,Males,10 to 14,494,528,296,159,117,n.p.,n.p.,81,"1,681"
2020-21,Number of clients that avoided homelessness,Males,15 to 17,349,302,129,91,65,n.p.,n.p.,43,986
2020-21,Number of clients that avoided homelessness,Males,18 to 24,580,732,239,139,134,25,n.p.,40,"1,895"
2020-21,Number of clients that avoided homelessness,Males,25 to 34,334,"1,335",207,195,153,29,23,27,"2,298"
2020-21,Number of clients that avoided homelessness,Males,35 to 44,393,"1,313",234,232,146,33,27,24,"2,389"
2020-21,Number of clients that avoided homelessness,Males,45 to 54,381,931,214,217,88,38,21,24,"1,906"
2020-21,Number of clients that avoided homelessness,Males,55 to 64,232,543,109,165,57,24,n.p.,n.p.,"1,157"
2020-21,Number of clients that avoided homelessness,Males,65+,127,367,77,104,25,n.p.,n.p.,n.p.,724
2020-21,Number of clients that avoided homelessness,Males,Total,"3,939","7,412","2,161","1,756","1,129",179,128,516,"17,169"
2020-21,Number of clients that avoided homelessness,All clients,0 to 9,"2,034","2,696","1,274",919,627,n.p.,39,463,"8,040"
2020-21,Number of clients that avoided homelessness,All clients,10 to 14,"1,004","1,020",572,375,232,n.p.,n.p.,188,"3,403"
2020-21,Number of clients that avoided homelessness,All clients,15 to 17,851,698,336,225,178,n.p.,22,131,"2,445"
2020-21,Number of clients that avoided homelessness,All clients,18 to 24,"1,720","2,150",793,514,472,80,55,260,"6,012"
2020-21,Number of clients that avoided homelessness,All clients,25 to 34,"1,720","4,400","1,021",951,691,111,103,334,"9,275"
2020-21,Number of clients that avoided homelessness,All clients,35 to 44,"1,724","4,171",961,905,621,96,78,269,"8,763"
2020-21,Number of clients that avoided homelessness,All clients,45 to 54,"1,278","2,884",659,651,340,78,52,154,"6,063"
2020-21,Number of clients that avoided homelessness,All clients,55 to 64,596,"1,448",333,415,140,60,20,69,"3,076"
2020-21,Number of clients that avoided homelessness,All clients,65+,337,912,180,235,67,41,n.p.,20,"1,805"
2020-21,Number of clients that avoided homelessness,All clients,Total,"11,264","20,379","6,129","5,190","3,368",492,397,"1,888","48,882"
2020-21,Number of At risk clients,Females,0 to 9,"1,146","1,669",730,579,322,3,22,275,"4,746"
2020-21,Number of At risk clients,Females,10 to 14,616,604,320,259,131,2,7,129,"2,067"
2020-21,Number of At risk clients,Females,15 to 17,684,536,265,177,136,14,29,101,"1,937"
2020-21,Number of At risk clients,Females,18 to 24,"1,512","2,044",722,499,421,86,68,282,"5,629"
2020-21,Number of At risk clients,Females,25 to 34,"1,677","3,977","1,067",964,667,112,111,394,"8,952"
2020-21,Number of At risk clients,Females,35 to 44,"1,572","3,569",924,837,584,82,59,309,"7,919"
2020-21,Number of At risk clients,Females,45 to 54,"1,010","2,313",540,527,303,48,44,157,"4,939"
2020-21,Number of At risk clients,Females,55 to 64,412,"1,031",257,284,91,44,7,62,"2,187"
2020-21,Number of At risk clients,Females,65+,228,587,115,145,44,27,10,22,"1,178"
2020-21,Number of At risk clients,Females,Total,"8,857","16,330","4,940","4,271","2,699",418,357,"1,731","39,554"
2020-21,Number of At risk clients,Males,0 to 9,"1,228","1,721",785,579,396,6,21,324,"5,058"
2020-21,Number of At risk clients,Males,10 to 14,569,616,336,200,132,4,6,90,"1,952"
2020-21,Number of At risk clients,Males,15 to 17,459,382,168,113,77,11,7,47,"1,263"
2020-21,Number of At risk clients,Males,18 to 24,762,"1,072",299,174,170,36,16,55,"2,584"
2020-21,Number of At risk clients,Males,25 to 34,434,"1,939",281,257,202,50,32,50,"3,245"
2020-21,Number of At risk clients,Males,35 to 44,504,"1,967",328,281,206,53,34,36,"3,409"
2020-21,Number of At risk clients,Males,45 to 54,452,"1,354",273,267,129,56,29,38,"2,599"
2020-21,Number of At risk clients,Males,55 to 64,261,685,137,178,68,30,16,22,"1,396"
2020-21,Number of At risk clients,Males,65+,142,414,95,111,28,18,8,5,820
2020-21,Number of At risk clients,Males,Total,"4,811","10,150","2,702","2,160","1,408",264,169,667,"22,326"
2020-21,Number of At risk clients,All clients,0 to 9,"2,374","3,390","1,515","1,158",718,9,43,599,"9,804"
2020-21,Number of At risk clients,All clients,10 to 14,"1,185","1,220",656,459,263,6,13,219,"4,019"
2020-21,Number of At risk clients,All clients,15 to 17,"1,143",918,433,290,213,25,36,148,"3,200"
2020-21,Number of At risk clients,All clients,18 to 24,"2,274","3,116","1,021",673,591,122,84,337,"8,213"
2020-21,Number of At risk clients,All clients,25 to 34,"2,111","5,916","1,348","1,221",869,162,143,444,"12,197"
2020-21,Number of At risk clients,All clients,35 to 44,"2,076","5,536","1,252","1,118",790,135,93,345,"11,328"
2020-21,Number of At risk clients,All clients,45 to 54,"1,462","3,667",813,794,432,104,73,195,"7,538"
2020-21,Number of At risk clients,All clients,55 to 64,673,"1,716",394,462,159,74,23,84,"3,583"
2020-21,Number of At risk clients,All clients,65+,370,"1,001",210,256,72,45,18,27,"1,998"
2020-21,Number of At risk clients,All clients,Total,"13,668","26,480","7,642","6,431","4,107",682,526,"2,398","61,880"
2019-20,Proportion of clients that avoided homelessness,Females,0 to 9,87.6,82.1,79.8,79.9,87.8,n.p.,n.p.,80.0,82.7
2019-20,Proportion of clients that avoided homelessness,Females,10 to 14,86.2,86.6,81.5,86.9,89.0,n.p.,n.p.,82.9,85.7
2019-20,Proportion of clients that avoided homelessness,Females,15 to 17,76.2,74.6,69.7,76.1,83.6,n.p.,n.p.,n.p.,75.1
2019-20,Proportion of clients that avoided homelessness,Females,18 to 24,80.8,74.2,73.8,76.9,77.4,n.p.,n.p.,83.3,76.2
2019-20,Proportion of clients that avoided homelessness,Females,25 to 34,84.7,78.4,79.3,79.7,83.7,79.4,70.9,79.3,79.5
2019-20,Proportion of clients that avoided homelessness,Females,35 to 44,86.5,81.6,80.3,82.8,83.4,n.p.,n.p.,79.3,82.2
2019-20,Proportion of clients that avoided homelessness,Females,45 to 54,88.2,85.4,85.6,82.7,81.9,n.p.,n.p.,83.3,85.3
2019-20,Proportion of clients that avoided homelessness,Females,55 to 64,92.6,88.2,84.0,94.4,90.3,n.p.,n.p.,n.p.,89.3
2019-20,Proportion of clients that avoided homelessness,Females,65+,93.7,94.5,93.2,95.4,n.p.,n.p.,n.p.,n.p.,94.6
2019-20,Proportion of clients that avoided homelessness,Females,Total,85.2,81.5,79.6,82.0,83.8,81.9,75.7,81.4,81.9
2019-20,Proportion of clients that avoided homelessness,Males,0 to 9,86.5,82.1,84.3,80.0,87.2,n.p.,n.p.,78.4,83.1
2019-20,Proportion of clients that avoided homelessness,Males,10 to 14,88.5,85.5,83.7,89.3,90.2,n.p.,n.p.,n.p.,86.9
2019-20,Proportion of clients that avoided homelessness,Males,15 to 17,84.8,82.1,76.6,79.8,82.4,n.p.,n.p.,n.p.,81.7
2019-20,Proportion of clients that avoided homelessness,Males,18 to 24,78.2,76.9,70.9,80.8,78.4,n.p.,n.p.,n.p.,76.2
2019-20,Proportion of clients that avoided homelessness,Males,25 to 34,81.5,74.8,67.1,77.2,76.7,n.p.,n.p.,n.p.,74.6
2019-20,Proportion of clients that avoided homelessness,Males,35 to 44,77.8,70.5,74.0,84.5,69.1,n.p.,n.p.,n.p.,72.6
2019-20,Proportion of clients that avoided homelessness,Males,45 to 54,82.5,74.5,71.6,82.8,76.5,n.p.,n.p.,n.p.,76.3
2019-20,Proportion of clients that avoided homelessness,Males,55 to 64,87.6,83.5,88.5,92.4,n.p.,n.p.,n.p.,n.p.,85.6
2019-20,Proportion of clients that avoided homelessness,Males,65+,90.0,92.5,n.p.,91.5,n.p.,n.p.,n.p.,n.p.,91.6
2019-20,Proportion of clients that avoided homelessness,Males,Total,83.6,78.2,77.9,83.2,81.1,72.5,78.5,81.5,79.5
2019-20,Proportion of clients that avoided homelessness,All clients,0 to 9,87.0,82.1,82.0,80.0,87.5,n.p.,n.p.,79.2,82.9
2019-20,Proportion of clients that avoided homelessness,All clients,10 to 14,87.3,86.0,82.6,87.9,89.6,n.p.,n.p.,88.2,86.3
2019-20,Proportion of clients that avoided homelessness,All clients,15 to 17,79.9,78.1,72.4,77.4,83.1,n.p.,n.p.,83.5,77.9
2019-20,Proportion of clients that avoided homelessness,All clients,18 to 24,79.9,75.1,72.9,77.9,77.7,75.2,n.p.,81.9,76.2
2019-20,Proportion of clients that avoided homelessness,All clients,25 to 34,84.0,77.3,76.5,79.2,82.2,76.0,69.9,79.5,78.2
2019-20,Proportion of clients that avoided homelessness,All clients,35 to 44,84.4,77.9,78.3,83.2,80.0,76.4,82.6,79.9,79.3
2019-20,Proportion of clients that avoided homelessness,All clients,45 to 54,86.3,81.4,80.8,82.8,80.4,82.5,n.p.,82.6,82.1
2019-20,Proportion of clients that avoided homelessness,All clients,55 to 64,90.7,86.3,86.1,93.6,86.7,n.p.,n.p.,n.p.,87.8
2019-20,Proportion of clients that avoided homelessness,All clients,65+,92.3,93.6,90.1,93.6,n.p.,n.p.,n.p.,n.p.,93.3
2019-20,Proportion of clients that avoided homelessness,All clients,Total,84.6,80.3,79.0,82.4,82.9,78.6,76.6,81.5,81.0
2019-20,Number of clients that avoided homelessness,Females,0 to 9,"1,063","1,837",708,514,339,n.p.,n.p.,244,"4,694"
2019-20,Number of clients that avoided homelessness,Females,10 to 14,549,745,246,239,129,n.p.,n.p.,92,"2,003"
2019-20,Number of clients that avoided homelessness,Females,15 to 17,566,440,184,153,117,n.p.,n.p.,53,"1,526"
2019-20,Number of clients that avoided homelessness,Females,18 to 24,"1,248","1,738",521,417,352,69,39,235,"4,582"
2019-20,Number of clients that avoided homelessness,Females,25 to 34,"1,523","3,609",849,802,584,104,83,334,"7,797"
2019-20,Number of clients that avoided homelessness,Females,35 to 44,"1,435","3,491",703,712,476,78,84,245,"7,174"
2019-20,Number of clients that avoided homelessness,Females,45 to 54,960,"2,439",492,459,227,57,33,120,"4,770"
2019-20,Number of clients that avoided homelessness,Females,55 to 64,424,"1,130",184,271,102,39,n.p.,61,"2,216"
2019-20,Number of clients that avoided homelessness,Females,65+,208,734,96,125,41,23,n.p.,n.p.,"1,250"
2019-20,Number of clients that avoided homelessness,Females,Total,"7,976","16,163","3,983","3,692","2,367",381,283,"1,400","36,012"
2019-20,Number of clients that avoided homelessness,Males,0 to 9,"1,079","1,845",703,573,335,n.p.,n.p.,229,"4,766"
2019-20,Number of clients that avoided homelessness,Males,10 to 14,471,783,251,191,120,n.p.,n.p.,65,"1,881"
2019-20,Number of clients that avoided homelessness,Males,15 to 17,485,436,131,83,84,n.p.,n.p.,33,"1,254"
2019-20,Number of clients that avoided homelessness,Males,18 to 24,596,891,244,139,145,n.p.,n.p.,41,"2,066"
2019-20,Number of clients that avoided homelessness,Males,25 to 34,369,"1,494",216,207,145,35,26,39,"2,508"
2019-20,Number of clients that avoided homelessness,Males,35 to 44,418,"1,539",299,272,123,42,30,38,"2,738"
2019-20,Number of clients that avoided homelessness,Males,45 to 54,443,"1,248",217,251,88,42,29,27,"2,331"
2019-20,Number of clients that avoided homelessness,Males,55 to 64,240,741,162,195,41,n.p.,n.p.,n.p.,"1,426"
2019-20,Number of clients that avoided homelessness,Males,65+,126,553,68,108,26,23,n.p.,n.p.,925
2019-20,Number of clients that avoided homelessness,Males,Total,"4,227","9,530","2,291","2,019","1,107",185,150,495,"19,895"
2019-20,Number of clients that avoided homelessness,All clients,0 to 9,"2,142","3,682","1,411","1,087",674,n.p.,n.p.,473,"9,460"
2019-20,Number of clients that avoided homelessness,All clients,10 to 14,"1,020","1,528",497,430,249,n.p.,n.p.,157,"3,884"
2019-20,Number of clients that avoided homelessness,All clients,15 to 17,"1,051",876,315,236,201,n.p.,20,86,"2,780"
2019-20,Number of clients that avoided homelessness,All clients,18 to 24,"1,844","2,629",765,556,497,85,49,276,"6,648"
2019-20,Number of clients that avoided homelessness,All clients,25 to 34,"1,892","5,103","1,065","1,009",729,139,109,373,"10,305"
2019-20,Number of clients that avoided homelessness,All clients,35 to 44,"1,853","5,030","1,002",984,599,120,114,283,"9,912"
2019-20,Number of clients that avoided homelessness,All clients,45 to 54,"1,403","3,687",709,710,315,99,62,147,"7,101"
2019-20,Number of clients that avoided homelessness,All clients,55 to 64,664,"1,871",346,466,143,58,29,74,"3,642"
2019-20,Number of clients that avoided homelessness,All clients,65+,334,"1,287",164,233,67,46,21,26,"2,175"
2019-20,Number of clients that avoided homelessness,All clients,Total,"12,203","25,693","6,274","5,711","3,474",566,433,"1,895","55,907"
2019-20,Number of At risk clients,Females,0 to 9,"1,213","2,237",887,643,386,1,7,305,"5,673"
2019-20,Number of At risk clients,Females,10 to 14,637,860,302,275,145,2,6,111,"2,338"
2019-20,Number of At risk clients,Females,15 to 17,743,590,264,201,140,15,20,64,"2,032"
2019-20,Number of At risk clients,Females,18 to 24,"1,545","2,343",706,542,455,88,71,282,"6,014"
2019-20,Number of At risk clients,Females,25 to 34,"1,799","4,602","1,070","1,006",698,131,117,421,"9,808"
2019-20,Number of At risk clients,Females,35 to 44,"1,659","4,277",876,860,571,93,97,309,"8,724"
2019-20,Number of At risk clients,Females,45 to 54,"1,089","2,855",575,555,277,68,35,144,"5,592"
2019-20,Number of At risk clients,Females,55 to 64,458,"1,281",219,287,113,44,13,67,"2,481"
2019-20,Number of At risk clients,Females,65+,222,777,103,131,41,23,8,16,"1,321"
2019-20,Number of At risk clients,Females,Total,"9,365","19,822","5,002","4,500","2,826",465,374,"1,719","43,983"
2019-20,Number of At risk clients,Males,0 to 9,"1,248","2,247",834,716,384,5,14,292,"5,735"
2019-20,Number of At risk clients,Males,10 to 14,532,916,300,214,133,2,5,67,"2,165"
2019-20,Number of At risk clients,Males,15 to 17,572,531,171,104,102,8,10,39,"1,535"
2019-20,Number of At risk clients,Males,18 to 24,762,"1,159",344,172,185,25,14,55,"2,713"
2019-20,Number of At risk clients,Males,25 to 34,453,"1,997",322,268,189,52,39,48,"3,362"
2019-20,Number of At risk clients,Males,35 to 44,537,"2,182",404,322,178,64,41,45,"3,770"
2019-20,Number of At risk clients,Males,45 to 54,537,"1,675",303,303,115,52,36,34,"3,054"
2019-20,Number of At risk clients,Males,55 to 64,274,887,183,211,52,23,18,16,"1,666"
2019-20,Number of At risk clients,Males,65+,140,598,79,118,27,24,14,11,"1,010"
2019-20,Number of At risk clients,Males,Total,"5,055","12,192","2,940","2,428","1,365",255,191,607,"25,010"
2019-20,Number of At risk clients,All clients,0 to 9,"2,461","4,484","1,721","1,359",770,6,21,597,"11,408"
2019-20,Number of At risk clients,All clients,10 to 14,"1,169","1,776",602,489,278,4,11,178,"4,503"
2019-20,Number of At risk clients,All clients,15 to 17,"1,315","1,121",435,305,242,23,30,103,"3,567"
2019-20,Number of At risk clients,All clients,18 to 24,"2,307","3,502","1,050",714,640,113,85,337,"8,727"
2019-20,Number of At risk clients,All clients,25 to 34,"2,252","6,599","1,392","1,274",887,183,156,469,"13,170"
2019-20,Number of At risk clients,All clients,35 to 44,"2,196","6,459","1,280","1,182",749,157,138,354,"12,494"
2019-20,Number of At risk clients,All clients,45 to 54,"1,626","4,530",878,858,392,120,71,178,"8,646"
2019-20,Number of At risk clients,All clients,55 to 64,732,"2,168",402,498,165,67,31,83,"4,147"
2019-20,Number of At risk clients,All clients,65+,362,"1,375",182,249,68,47,22,27,"2,331"
2019-20,Number of At risk clients,All clients,Total,"14,420","32,014","7,942","6,928","4,191",720,565,"2,326","68,993"
2018-19,Proportion of clients that avoided homelessness,Females,0 to 9,83.1,79.9,81.0,77.2,86.6,n.p.,n.p.,84.3,81.0
2018-19,Proportion of clients that avoided homelessness,Females,10 to 14,86.7,83.5,78.7,79.7,89.5,n.p.,n.p.,87.0,83.5
2018-19,Proportion of clients that avoided homelessness,Females,15 to 17,78.0,76.3,76.4,66.7,74.5,n.p.,n.p.,n.p.,76.0
2018-19,Proportion of clients that avoided homelessness,Females,18 to 24,78.7,71.5,76.5,77.6,79.1,n.p.,n.p.,78.7,74.6
2018-19,Proportion of clients that avoided homelessness,Females,25 to 34,82.8,77.5,78.3,79.6,82.3,82.1,75.7,74.0,78.5
2018-19,Proportion of clients that avoided homelessness,Females,35 to 44,85.1,80.3,79.4,83.3,86.9,80.0,n.p.,81.9,81.4
2018-19,Proportion of clients that avoided homelessness,Females,45 to 54,89.0,84.1,81.6,83.6,84.9,n.p.,n.p.,79.6,84.6
2018-19,Proportion of clients that avoided homelessness,Females,55 to 64,91.7,89.2,84.5,91.4,n.p.,n.p.,n.p.,n.p.,89.3
2018-19,Proportion of clients that avoided homelessness,Females,65+,95.5,93.8,95.7,96.3,n.p.,n.p.,n.p.,n.p.,94.4
2018-19,Proportion of clients that avoided homelessness,Females,Total,83.8,80.1,79.7,80.8,84.3,80.6,75.2,80.9,80.8
2018-19,Proportion of clients that avoided homelessness,Males,0 to 9,83.9,80.2,80.3,74.1,89.9,n.p.,n.p.,84.6,81.0
2018-19,Proportion of clients that avoided homelessness,Males,10 to 14,87.9,85.6,85.0,74.5,85.5,n.p.,n.p.,n.p.,85.0
2018-19,Proportion of clients that avoided homelessness,Males,15 to 17,82.3,83.3,75.1,n.p.,80.2,n.p.,n.p.,n.p.,80.7
2018-19,Proportion of clients that avoided homelessness,Males,18 to 24,78.3,73.0,74.7,80.6,75.3,n.p.,n.p.,n.p.,74.6
2018-19,Proportion of clients that avoided homelessness,Males,25 to 34,79.6,71.1,70.8,80.4,76.2,n.p.,n.p.,n.p.,72.5
2018-19,Proportion of clients that avoided homelessness,Males,35 to 44,77.2,69.8,73.7,78.8,69.9,n.p.,n.p.,n.p.,71.4
2018-19,Proportion of clients that avoided homelessness,Males,45 to 54,85.0,77.7,81.0,87.4,75.2,n.p.,n.p.,n.p.,79.8
2018-19,Proportion of clients that avoided homelessness,Males,55 to 64,88.3,86.2,76.9,90.0,n.p.,n.p.,n.p.,n.p.,84.9
2018-19,Proportion of clients that avoided homelessness,Males,65+,94.2,88.6,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,89.1
2018-19,Proportion of clients that avoided homelessness,Males,Total,83.0,77.0,77.8,79.6,80.2,74.5,78.0,77.6,78.4
2018-19,Proportion of clients that avoided homelessness,All clients,0 to 9,83.5,80.1,80.6,75.6,88.3,n.p.,n.p.,84.4,81.0
2018-19,Proportion of clients that avoided homelessness,All clients,10 to 14,87.3,84.5,81.9,77.4,87.5,n.p.,n.p.,87.5,84.3
