Month and Year,Month,Year,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,,
May-25,May,2025,Male,15?17 years,683,680,450,132,144,44,48,59,"2,239",,
May-25,May,2025,Male,18?19 years,497,546,390,74,110,61,33,36,"1,747",,
May-25,May,2025,Male,20?24 years,865,988,620,139,194,105,50,50,"3,007",,
May-25,May,2025,Male,25?29 years,462,834,393,121,169,76,43,50,"2,144",,
May-25,May,2025,Male,30?34 years,496,"1,008",459,135,178,89,68,45,"2,467",,
May-25,May,2025,Male,35?39 years,534,"1,072",500,173,210,65,65,59,"2,668",,
May-25,May,2025,Male,40?44 years,600,"1,064",570,218,213,83,63,63,"2,866",,
May-25,May,2025,Male,45?49 years,607,920,529,206,165,86,78,66,"2,644",,
May-25,May,2025,Male,50?54 years,585,816,468,200,160,84,61,75,"2,441",,
May-25,May,2025,Male,55?59 years,426,625,365,151,131,67,31,69,"1,860",,
May-25,May,2025,Male,60?64 years,334,392,246,108,87,78,33,43,"1,317",,
May-25,May,2025,Male,65+ years,452,614,418,131,90,136,46,54,"1,941",,
May-25,May,2025,Male,All Males,"9,401","13,317","8,136","2,617","2,590","1,082",841,"1,010","38,918",,
May-25,May,2025,Total,0?4 years,"2,268","2,515","2,049",584,582,86,147,251,"8,473",,
May-25,May,2025,Total,5?9 years,"1,808","2,563","1,808",603,446,69,164,228,"7,681",,
May-25,May,2025,Total,10?14 years,"1,712","2,353","1,472",474,395,76,113,210,"6,799",,
May-25,May,2025,Total,15?17 years,"1,751","1,512","1,045",344,392,138,122,132,"5,430",,
May-25,May,2025,Total,18?19 years,"1,490","1,373",982,258,291,184,95,125,"4,794",,
May-25,May,2025,Total,20?24 years,"2,810","2,914","1,976",679,649,248,191,279,"9,723",,
May-25,May,2025,Total,25?29 years,"1,771","2,737","1,502",627,588,206,159,245,"7,820",,
May-25,May,2025,Total,30?34 years,"1,866","3,392","1,605",753,588,207,191,273,"8,841",,
May-25,May,2025,Total,35?39 years,"1,851","3,469","1,685",882,618,151,169,281,"9,077",,
May-25,May,2025,Total,40?44 years,"1,685","3,138","1,555",774,597,192,158,278,"8,356",,
May-25,May,2025,Total,45?49 years,"1,522","2,438","1,278",614,426,153,146,211,"6,766",,
May-25,May,2025,Total,50?54 years,"1,346","1,934","1,048",520,339,141,121,198,"5,634",,
May-25,May,2025,Total,55?59 years,910,"1,437",765,370,246,112,72,165,"4,072",,
May-25,May,2025,Total,60?64 years,707,901,514,216,161,123,61,106,"2,778",,
May-25,May,2025,Total,65+ years,953,"1,379",832,301,186,237,100,117,"4,102",,
May-25,May,2025,Total,All Ages,"24,450","34,055","20,116","7,999","6,504","2,323","2,009","3,099","100,346",,
Apr-25,April,2025,Female,0?4 years,"1,091","1,226",988,265,284,33,71,128,"4,083",,
Apr-25,April,2025,Female,5?9 years,839,"1,225",894,290,226,37,60,109,"3,678",,
Apr-25,April,2025,Female,10?14 years,903,"1,169",704,254,196,42,57,103,"3,423",,
Apr-25,April,2025,Female,15?17 years,"1,011",826,607,205,251,91,73,66,"3,126",,
Apr-25,April,2025,Female,18?19 years,"1,000",808,597,172,197,114,57,93,"3,035",,
Apr-25,April,2025,Female,20?24 years,"1,916","1,904","1,317",529,467,137,135,250,"6,638",,
Apr-25,April,2025,Female,25?29 years,"1,295","1,884","1,117",509,431,115,106,210,"5,647",,
Apr-25,April,2025,Female,30?34 years,"1,369","2,382","1,141",638,410,116,128,236,"6,407",,
Apr-25,April,2025,Female,35?39 years,"1,268","2,306","1,188",679,434,91,99,233,"6,275",,
Apr-25,April,2025,Female,40?44 years,"1,101","2,008","1,011",548,366,107,94,244,"5,461",,
Apr-25,April,2025,Female,45?49 years,916,"1,482",740,406,225,71,72,166,"4,068",,
Apr-25,April,2025,Female,50?54 years,750,"1,065",572,286,178,55,63,149,"3,115",,
Apr-25,April,2025,Female,55?59 years,486,793,395,220,119,39,33,121,"2,203",,
Apr-25,April,2025,Female,60?64 years,355,520,275,107,65,44,25,66,"1,452",,
Apr-25,April,2025,Female,65+ years,511,720,406,173,87,100,49,66,"2,109",,
Apr-25,April,2025,Female,All Females,"14,811","20,318","11,952","5,281","3,936","1,192","1,122","2,240","60,720",,
Apr-25,April,2025,Male,0?4 years,"1,125","1,268","1,035",283,323,44,65,135,"4,275",,
Apr-25,April,2025,Male,5?9 years,894,"1,293",938,313,228,32,85,111,"3,888",,
Apr-25,April,2025,Male,10?14 years,717,"1,136",718,232,193,30,53,77,"3,154",,
Apr-25,April,2025,Male,15?17 years,663,658,456,117,147,40,50,59,"2,187",,
Apr-25,April,2025,Male,18?19 years,469,535,377,68,110,64,30,36,"1,687",,
Apr-25,April,2025,Male,20?24 years,841,959,621,129,187,98,52,60,"2,941",,
Apr-25,April,2025,Male,25?29 years,445,795,422,114,174,68,45,66,"2,128",,
Apr-25,April,2025,Male,30?34 years,473,979,467,142,165,75,71,58,"2,426",,
Apr-25,April,2025,Male,35?39 years,505,977,501,161,211,57,67,79,"2,551",,
Apr-25,April,2025,Male,40?44 years,614,"1,040",600,218,216,75,63,98,"2,914",,
Apr-25,April,2025,Male,45?49 years,592,894,522,195,168,78,74,87,"2,599",,
Apr-25,April,2025,Male,50?54 years,565,810,484,208,160,74,72,91,"2,459",,
Apr-25,April,2025,Male,55?59 years,409,587,385,155,137,66,31,93,"1,856",,
Apr-25,April,2025,Male,60?64 years,307,378,227,94,90,76,34,57,"1,262",,
Apr-25,April,2025,Male,65+ years,427,590,402,114,83,136,44,67,"1,862",,
Apr-25,April,2025,Male,All Males,"9,046","12,899","8,155","2,543","2,592","1,013",836,"1,174","38,189",,
Apr-25,April,2025,Total,0?4 years,"2,216","2,494","2,023",548,607,77,136,263,"8,358",,
Apr-25,April,2025,Total,5?9 years,"1,733","2,518","1,832",603,454,69,145,220,"7,566",,
Apr-25,April,2025,Total,10?14 years,"1,620","2,305","1,422",486,389,72,110,180,"6,577",,
Apr-25,April,2025,Total,15?17 years,"1,674","1,484","1,063",322,398,131,123,125,"5,313",,
Apr-25,April,2025,Total,18?19 years,"1,469","1,343",974,240,307,178,87,129,"4,722",,
Apr-25,April,2025,Total,20?24 years,"2,757","2,863","1,938",658,654,235,187,310,"9,579",,
Apr-25,April,2025,Total,25?29 years,"1,740","2,679","1,539",623,605,183,151,276,"7,775",,
Apr-25,April,2025,Total,30?34 years,"1,842","3,361","1,608",780,575,191,199,294,"8,833",,
Apr-25,April,2025,Total,35?39 years,"1,773","3,283","1,689",840,645,148,166,312,"8,826",,
Apr-25,April,2025,Total,40?44 years,"1,715","3,048","1,611",766,582,182,157,342,"8,375",,
Apr-25,April,2025,Total,45?49 years,"1,508","2,376","1,262",601,393,149,146,253,"6,667",,
Apr-25,April,2025,Total,50?54 years,"1,315","1,875","1,056",494,338,129,135,240,"5,574",,
Apr-25,April,2025,Total,55?59 years,895,"1,380",780,375,256,105,64,214,"4,059",,
Apr-25,April,2025,Total,60?64 years,662,898,502,201,155,120,59,123,"2,714",,
Apr-25,April,2025,Total,65+ years,938,"1,310",808,287,170,236,93,133,"3,971",,
Apr-25,April,2025,Total,All Ages,"23,857","33,217","20,107","7,824","6,528","2,205","1,958","3,414","98,909",,
Mar-25,March,2025,Female,0?4 years,"1,133","1,262",976,277,269,35,70,130,"4,148",,
Mar-25,March,2025,Female,5?9 years,837,"1,263",918,317,214,31,61,117,"3,753",,
Mar-25,March,2025,Female,10?14 years,933,"1,160",717,239,182,44,55,112,"3,438",,
Mar-25,March,2025,Female,15?17 years,"1,014",865,618,211,254,84,70,65,"3,173",,
Mar-25,March,2025,Female,18?19 years,983,796,633,181,207,128,61,97,"3,083",,
Mar-25,March,2025,Female,20?24 years,"1,999","1,904","1,383",543,476,141,131,253,"6,813",,
Mar-25,March,2025,Female,25?29 years,"1,324","1,942","1,141",519,430,117,108,216,"5,782",,
Mar-25,March,2025,Female,30?34 years,"1,392","2,304","1,192",629,409,130,130,280,"6,448",,
Mar-25,March,2025,Female,35?39 years,"1,387","2,467","1,159",659,450,101,99,239,"6,536",,
Mar-25,March,2025,Female,40?44 years,"1,124","2,070","1,032",564,388,119,96,254,"5,626",,
Mar-25,March,2025,Female,45?49 years,908,"1,502",765,420,236,71,65,179,"4,139",,
Mar-25,March,2025,Female,50?54 years,747,"1,090",582,309,201,62,61,152,"3,196",,
Mar-25,March,2025,Female,55?59 years,485,765,391,226,113,43,34,124,"2,176",,
Mar-25,March,2025,Female,60?64 years,352,516,283,116,60,47,24,64,"1,460",,
Mar-25,March,2025,Female,65+ years,515,766,413,172,98,110,50,66,"2,189",,
Mar-25,March,2025,Female,All Females,"15,133","20,672","12,203","5,382","3,987","1,263","1,115","2,348","61,960",,
Mar-25,March,2025,Male,0?4 years,"1,181","1,283","1,016",284,311,46,64,139,"4,321",,
Mar-25,March,2025,Male,5?9 years,930,"1,338",911,314,223,35,85,117,"3,949",,
Mar-25,March,2025,Male,10?14 years,754,"1,171",747,233,180,31,54,79,"3,248",,
Mar-25,March,2025,Male,15?17 years,707,678,484,128,143,41,51,58,"2,289",,
Mar-25,March,2025,Male,18?19 years,474,518,395,76,107,56,31,40,"1,695",,
Mar-25,March,2025,Male,20?24 years,864,987,620,137,207,98,55,63,"3,022",,
Mar-25,March,2025,Male,25?29 years,446,794,399,117,187,73,40,67,"2,120",,
Mar-25,March,2025,Male,30?34 years,487,996,467,138,183,80,76,74,"2,497",,
Mar-25,March,2025,Male,35?39 years,512,"1,040",513,182,228,80,62,100,"2,710",,
Mar-25,March,2025,Male,40?44 years,614,"1,030",627,223,217,83,68,103,"2,954",,
Mar-25,March,2025,Male,45?49 years,585,915,550,203,188,87,79,88,"2,687",,
Mar-25,March,2025,Male,50?54 years,579,843,512,213,165,78,73,103,"2,558",,
Mar-25,March,2025,Male,55?59 years,404,570,383,147,137,70,30,97,"1,831",,
Mar-25,March,2025,Male,60?64 years,310,370,232,104,82,80,36,60,"1,273",,
Mar-25,March,2025,Male,65+ years,414,612,374,135,92,139,47,78,"1,888",,
Mar-25,March,2025,Male,All Males,"9,261","13,145","8,230","2,634","2,650","1,077",851,"1,266","39,042",,
Mar-25,March,2025,Total,0?4 years,"2,314","2,545","1,992",561,580,81,134,269,"8,469",,
Mar-25,March,2025,Total,5?9 years,"1,767","2,601","1,829",631,437,66,146,234,"7,702",,
Mar-25,March,2025,Total,10?14 years,"1,687","2,331","1,464",472,362,75,109,191,"6,686",,
Mar-25,March,2025,Total,15?17 years,"1,721","1,543","1,102",339,397,125,121,123,"5,462",,
Mar-25,March,2025,Total,18?19 years,"1,457","1,314","1,028",257,314,184,92,137,"4,778",,
Mar-25,March,2025,Total,20?24 years,"2,863","2,891","2,003",680,683,239,186,316,"9,835",,
Mar-25,March,2025,Total,25?29 years,"1,770","2,736","1,540",636,617,190,148,283,"7,902",,
Mar-25,March,2025,Total,30?34 years,"1,879","3,300","1,659",767,592,210,206,354,"8,945",,
Mar-25,March,2025,Total,35?39 years,"1,899","3,507","1,672",841,678,181,161,339,"9,246",,
Mar-25,March,2025,Total,40?44 years,"1,738","3,100","1,659",787,605,202,164,357,"8,580",,
Mar-25,March,2025,Total,45?49 years,"1,493","2,417","1,315",623,424,158,144,267,"6,826",,
Mar-25,March,2025,Total,50?54 years,"1,326","1,933","1,094",522,366,140,134,255,"5,754",,
Mar-25,March,2025,Total,55?59 years,889,"1,335",774,373,250,113,64,221,"4,007",,
Mar-25,March,2025,Total,60?64 years,662,886,515,220,142,127,60,124,"2,733",,
Mar-25,March,2025,Total,65+ years,929,"1,378",787,307,190,249,97,144,"4,077",,
Mar-25,March,2025,Total,All Ages,"24,394","33,817","20,433","8,016","6,637","2,340","1,966","3,614","101,002",,
Feb-25,February,2025,Female,0?4 years,"1,147","1,212",954,287,275,39,73,116,"4,100",,
Feb-25,February,2025,Female,5?9 years,860,"1,237",887,286,209,31,58,117,"3,682",,
