Month and Year,Month,Year,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,,
Jul-24,July,2024,Female,40?44 years,"1,118","1,980",939,566,365,100,98,226,"5,383",,
Jul-24,July,2024,Female,45?49 years,913,"1,521",688,386,262,69,59,150,"4,034",,
Jul-24,July,2024,Female,50?54 years,726,"1,114",546,321,193,61,57,124,"3,138",,
Jul-24,July,2024,Female,55?59 years,470,735,309,207,108,50,33,87,"1,997",,
Jul-24,July,2024,Female,60?64 years,331,499,215,130,73,49,34,65,"1,394",,
Jul-24,July,2024,Female,65+ years,484,768,335,162,82,105,32,71,"2,037",,
Jul-24,July,2024,Female,All Females,"14,926","20,150","10,953","5,109","4,070","1,347","1,062","2,059","59,570",,
Jul-24,July,2024,Male,0?4 years,"1,088","1,192",948,308,309,53,77,126,"4,099",,
Jul-24,July,2024,Male,5?9 years,919,"1,281",836,288,246,45,75,114,"3,801",,
Jul-24,July,2024,Male,10?14 years,775,"1,056",646,232,206,31,53,75,"3,072",,
Jul-24,July,2024,Male,15?17 years,673,674,420,118,161,47,36,50,"2,177",,
Jul-24,July,2024,Male,18?19 years,507,478,332,76,111,74,31,24,"1,628",,
Jul-24,July,2024,Male,20?24 years,908,997,564,134,208,94,58,56,"3,014",,
Jul-24,July,2024,Male,25?29 years,519,800,394,126,180,81,44,58,"2,200",,
Jul-24,July,2024,Male,30?34 years,542,957,445,147,177,80,64,62,"2,463",,
Jul-24,July,2024,Male,35?39 years,580,952,522,179,226,71,62,86,"2,672",,
Jul-24,July,2024,Male,40?44 years,667,"1,018",600,234,225,92,66,88,"2,981",,
Jul-24,July,2024,Male,45?49 years,576,894,539,226,179,86,69,87,"2,650",,
Jul-24,July,2024,Male,50?54 years,625,804,481,240,162,80,51,97,"2,534",,
Jul-24,July,2024,Male,55?59 years,437,547,348,175,117,78,45,85,"1,829",,
Jul-24,July,2024,Male,60?64 years,316,367,231,88,89,66,29,64,"1,248",,
Jul-24,July,2024,Male,65+ years,426,643,348,136,61,133,40,64,"1,845",,
Jul-24,July,2024,Male,All Males,"9,558","12,660","7,654","2,707","2,657","1,111",800,"1,136","38,213",,
Jul-24,July,2024,Total,0?4 years,"2,192","2,390","1,817",611,617,100,133,239,"8,096",,
Jul-24,July,2024,Total,5?9 years,"1,786","2,500","1,599",573,482,74,125,237,"7,373",,
Jul-24,July,2024,Total,10?14 years,"1,648","2,169","1,277",454,429,72,106,171,"6,324",,
Jul-24,July,2024,Total,15?17 years,"1,718","1,471","1,012",323,391,144,101,123,"5,276",,
Jul-24,July,2024,Total,18?19 years,"1,525","1,289",882,277,300,198,96,97,"4,656",,
Jul-24,July,2024,Total,20?24 years,"2,938","2,897","1,840",601,645,264,184,276,"9,630",,
Jul-24,July,2024,Total,25?29 years,"1,864","2,692","1,429",591,632,225,158,250,"7,820",,
Jul-24,July,2024,Total,30?34 years,"1,875","3,247","1,607",710,626,213,179,281,"8,715",,
Jul-24,July,2024,Total,35?39 years,"1,849","3,265","1,565",805,689,199,167,313,"8,823",,
Jul-24,July,2024,Total,40?44 years,"1,785","2,998","1,539",800,590,192,164,314,"8,364",,
Jul-24,July,2024,Total,45?49 years,"1,489","2,415","1,227",612,441,155,128,237,"6,684",,
Jul-24,July,2024,Total,50?54 years,"1,351","1,918","1,027",561,355,141,108,221,"5,672",,
Jul-24,July,2024,Total,55?59 years,907,"1,282",657,382,225,128,78,172,"3,826",,
Jul-24,July,2024,Total,60?64 years,647,866,446,218,162,115,63,129,"2,642",,
Jul-24,July,2024,Total,65+ years,910,"1,411",683,298,143,238,72,135,"3,882",,
Jul-24,July,2024,Total,All Ages,"24,484","32,810","18,607","7,816","6,727","2,458","1,862","3,195","97,783",,
Jun-24,June,2024,Female,0?4 years,"1,062","1,170",837,302,309,53,56,123,"3,909",,
Jun-24,June,2024,Female,5?9 years,859,"1,169",740,302,243,25,58,105,"3,501",,
Jun-24,June,2024,Female,10?14 years,843,"1,091",633,260,226,44,54,103,"3,253",,
Jun-24,June,2024,Female,15?17 years,"1,082",798,565,214,241,88,65,65,"3,111",,
Jun-24,June,2024,Female,18?19 years,"1,015",776,529,192,194,122,67,70,"2,962",,
Jun-24,June,2024,Female,20?24 years,"2,058","1,930","1,239",464,440,166,128,218,"6,629",,
Jun-24,June,2024,Female,25?29 years,"1,273","1,862",995,447,447,136,117,192,"5,456",,
Jun-24,June,2024,Female,30?34 years,"1,287","2,261","1,150",559,450,139,116,231,"6,183",,
Jun-24,June,2024,Female,35?39 years,"1,193","2,314","1,012",636,454,111,104,214,"6,027",,
Jun-24,June,2024,Female,40?44 years,"1,080","1,992",919,549,368,90,102,230,"5,318",,
Jun-24,June,2024,Female,45?49 years,906,"1,503",675,404,271,58,61,137,"4,007",,
Jun-24,June,2024,Female,50?54 years,713,"1,143",498,323,173,64,52,134,"3,093",,
Jun-24,June,2024,Female,55?59 years,444,716,308,181,104,44,34,88,"1,916",,
Jun-24,June,2024,Female,60?64 years,331,472,194,120,63,52,35,61,"1,326",,
Jun-24,June,2024,Female,65+ years,467,727,329,148,79,102,34,62,"1,948",,
Jun-24,June,2024,Female,All Females,"14,613","19,924","10,623","5,101","4,062","1,294","1,083","2,033","58,639",,
Jun-24,June,2024,Male,0?4 years,"1,078","1,162",917,321,319,60,76,119,"4,048",,
Jun-24,June,2024,Male,5?9 years,891,"1,271",811,289,259,51,75,116,"3,760",,
Jun-24,June,2024,Male,10?14 years,760,"1,058",633,257,228,33,51,75,"3,095",,
Jun-24,June,2024,Male,15?17 years,741,641,436,120,183,46,36,45,"2,246",,
Jun-24,June,2024,Male,18?19 years,512,475,305,71,101,71,31,25,"1,589",,
Jun-24,June,2024,Male,20?24 years,922,960,531,130,204,91,66,56,"2,956",,
Jun-24,June,2024,Male,25?29 years,499,806,380,116,162,74,51,56,"2,141",,
Jun-24,June,2024,Male,30?34 years,501,922,410,128,166,76,59,60,"2,316",,
Jun-24,June,2024,Male,35?39 years,543,914,498,176,217,76,59,77,"2,557",,
Jun-24,June,2024,Male,40?44 years,681,"1,081",567,229,218,91,72,78,"3,001",,
Jun-24,June,2024,Male,45?49 years,566,919,506,229,169,75,74,76,"2,606",,
Jun-24,June,2024,Male,50?54 years,589,829,482,213,158,73,52,95,"2,483",,
Jun-24,June,2024,Male,55?59 years,418,561,329,171,118,84,43,84,"1,806",,
Jun-24,June,2024,Male,60?64 years,311,391,208,90,76,72,26,64,"1,234",,
Jun-24,June,2024,Male,65+ years,393,605,329,135,64,130,42,70,"1,767",,
Jun-24,June,2024,Male,All Males,"9,405","12,595","7,342","2,675","2,642","1,103",813,"1,096","37,605",,
Jun-24,June,2024,Total,0?4 years,"2,140","2,332","1,754",623,628,113,132,242,"7,957",,
Jun-24,June,2024,Total,5?9 years,"1,750","2,440","1,551",591,502,76,133,221,"7,261",,
Jun-24,June,2024,Total,10?14 years,"1,603","2,149","1,266",517,454,77,105,178,"6,348",,
Jun-24,June,2024,Total,15?17 years,"1,823","1,439","1,001",334,424,134,101,110,"5,357",,
Jun-24,June,2024,Total,18?19 years,"1,527","1,251",834,263,295,193,98,95,"4,551",,
Jun-24,June,2024,Total,20?24 years,"2,980","2,890","1,770",594,644,257,194,274,"9,585",,
Jun-24,June,2024,Total,25?29 years,"1,772","2,668","1,375",563,609,210,168,248,"7,597",,
Jun-24,June,2024,Total,30?34 years,"1,788","3,183","1,560",687,616,215,175,291,"8,499",,
Jun-24,June,2024,Total,35?39 years,"1,736","3,228","1,510",812,671,187,163,291,"8,584",,
Jun-24,June,2024,Total,40?44 years,"1,761","3,073","1,486",778,586,181,174,308,"8,319",,
Jun-24,June,2024,Total,45?49 years,"1,472","2,422","1,181",633,440,133,135,213,"6,613",,
Jun-24,June,2024,Total,50?54 years,"1,302","1,972",980,536,331,137,104,229,"5,576",,
Jun-24,June,2024,Total,55?59 years,862,"1,277",637,352,222,128,77,172,"3,722",,
Jun-24,June,2024,Total,60?64 years,642,863,402,210,139,124,61,125,"2,560",,
Jun-24,June,2024,Total,65+ years,860,"1,332",658,283,143,232,76,132,"3,715",,
Jun-24,June,2024,Total,All Ages,"24,018","32,519","17,965","7,776","6,704","2,397","1,896","3,129","96,244",,
May-24,May,2024,Female,0?4 years,"1,093","1,193",885,309,327,59,62,116,"4,042",,
May-24,May,2024,Female,5?9 years,863,"1,181",783,321,240,34,67,103,"3,590",,
May-24,May,2024,Female,10?14 years,860,"1,122",652,262,225,43,57,105,"3,326",,
May-24,May,2024,Female,15?17 years,"1,088",799,577,215,261,95,64,76,"3,172",,
May-24,May,2024,Female,18?19 years,"1,015",805,523,215,220,124,64,81,"3,040",,
May-24,May,2024,Female,20?24 years,"2,109","1,988","1,218",460,469,184,135,227,"6,771",,
May-24,May,2024,Female,25?29 years,"1,333","1,908","1,026",472,443,158,116,202,"5,644",,
May-24,May,2024,Female,30?34 years,"1,340","2,309","1,163",582,469,162,130,235,"6,378",,
May-24,May,2024,Female,35?39 years,"1,289","2,386","1,030",651,472,127,105,228,"6,275",,
May-24,May,2024,Female,40?44 years,"1,119","2,123",891,572,368,100,104,239,"5,503",,
May-24,May,2024,Female,45?49 years,931,"1,521",675,391,270,71,61,149,"4,058",,
May-24,May,2024,Female,50?54 years,743,"1,161",495,291,188,74,51,148,"3,144",,
May-24,May,2024,Female,55?59 years,454,733,314,199,102,50,31,93,"1,972",,
May-24,May,2024,Female,60?64 years,337,472,199,134,61,57,32,54,"1,346",,
May-24,May,2024,Female,65+ years,473,767,318,165,98,116,34,65,"2,036",,
May-24,May,2024,Female,All Females,"15,047","20,468","10,749","5,239","4,213","1,454","1,113","2,121","60,297",,
May-24,May,2024,Male,0?4 years,"1,097","1,186",926,340,336,66,79,131,"4,157",,
May-24,May,2024,Male,5?9 years,895,"1,310",828,290,249,43,73,108,"3,794",,
May-24,May,2024,Male,10?14 years,786,"1,097",638,254,240,30,54,68,"3,166",,
May-24,May,2024,Male,15?17 years,703,684,426,140,186,51,37,41,"2,265",,
May-24,May,2024,Male,18?19 years,514,470,298,72,117,71,33,31,"1,603",,
May-24,May,2024,Male,20?24 years,916,"1,010",512,142,203,97,69,63,"3,005",,
May-24,May,2024,Male,25?29 years,514,834,370,128,174,88,58,60,"2,222",,
May-24,May,2024,Male,30?34 years,537,973,397,132,192,89,59,63,"2,434",,
May-24,May,2024,Male,35?39 years,583,978,491,170,221,92,55,74,"2,657",,
May-24,May,2024,Male,40?44 years,676,"1,054",521,221,226,105,80,98,"2,968",,
May-24,May,2024,Male,45?49 years,590,931,490,244,198,81,75,77,"2,678",,
May-24,May,2024,Male,50?54 years,597,861,488,218,174,82,56,95,"2,565",,
May-24,May,2024,Male,55?59 years,426,572,316,158,128,79,45,92,"1,808",,
May-24,May,2024,Male,60?64 years,331,400,208,89,83,72,25,61,"1,264",,
May-24,May,2024,Male,65+ years,398,628,306,117,79,134,47,75,"1,783",,
May-24,May,2024,Male,All Males,"9,563","12,988","7,215","2,715","2,806","1,180",845,"1,137","38,369",,
May-24,May,2024,Total,0?4 years,"2,190","2,379","1,811",649,663,125,141,247,"8,199",,
May-24,May,2024,Total,5?9 years,"1,758","2,491","1,611",611,489,77,140,211,"7,384",,
May-24,May,2024,Total,10?14 years,"1,646","2,219","1,290",516,465,73,111,173,"6,492",,
May-24,May,2024,Total,15?17 years,"1,791","1,483","1,003",355,447,146,101,117,"5,437",,
May-24,May,2024,Total,18?19 years,"1,529","1,275",821,287,337,195,97,112,"4,643",,
May-24,May,2024,Total,20?24 years,"3,025","2,998","1,730",602,672,281,204,290,"9,776",,
May-24,May,2024,Total,25?29 years,"1,847","2,742","1,396",600,617,246,174,262,"7,866",,
May-24,May,2024,Total,30?34 years,"1,877","3,282","1,560",714,661,251,189,298,"8,812",,
May-24,May,2024,Total,35?39 years,"1,872","3,364","1,521",821,693,219,160,302,"8,932",,
May-24,May,2024,Total,40?44 years,"1,795","3,177","1,412",793,594,205,184,337,"8,471",,
May-24,May,2024,Total,45?49 years,"1,521","2,452","1,165",635,468,152,136,226,"6,736",,
May-24,May,2024,Total,50?54 years,"1,340","2,022",983,509,362,156,107,243,"5,709",,
May-24,May,2024,Total,55?59 years,880,"1,305",630,357,230,129,76,185,"3,780",,
May-24,May,2024,Total,60?64 years,668,872,407,223,144,129,57,115,"2,610",,
May-24,May,2024,Total,65+ years,871,"1,395",624,282,177,250,81,140,"3,819",,
May-24,May,2024,Total,All Ages,"24,610","33,456","17,964","7,954","7,019","2,634","1,958","3,258","98,666",,
Apr-24,April,2024,Female,0?4 years,"1,118","1,153",835,313,309,57,66,132,"3,983",,
Apr-24,April,2024,Female,5?9 years,841,"1,178",762,330,235,29,66,107,"3,547",,
Apr-24,April,2024,Female,10?14 years,862,"1,077",605,287,219,48,55,111,"3,264",,
Apr-24,April,2024,Female,15?17 years,"1,111",788,539,224,253,102,51,69,"3,134",,
Apr-24,April,2024,Female,18?19 years,969,777,499,199,224,123,57,82,"2,925",,
Apr-24,April,2024,Female,20?24 years,"2,043","1,953","1,158",487,481,186,140,224,"6,660",,
Apr-24,April,2024,Female,25?29 years,"1,260","1,905",959,471,451,172,101,199,"5,501",,
Apr-24,April,2024,Female,30?34 years,"1,278","2,294","1,098",586,426,155,130,237,"6,190",,
Apr-24,April,2024,Female,35?39 years,"1,217","2,328","1,005",642,456,136,98,219,"6,085",,
Apr-24,April,2024,Female,40?44 years,"1,074","2,044",844,534,356,108,91,245,"5,286",,
Apr-24,April,2024,Female,45?49 years,891,"1,504",634,395,262,77,56,151,"3,958",,
Apr-24,April,2024,Female,50?54 years,713,"1,152",462,277,199,85,49,134,"3,056",,
Apr-24,April,2024,Female,55?59 years,433,688,320,186,97,55,35,89,"1,901",,
Apr-24,April,2024,Female,60?64 years,327,458,193,138,59,51,32,57,"1,314",,
Apr-24,April,2024,Female,65+ years,448,750,311,154,85,121,32,66,"1,965",,
Apr-24,April,2024,Female,All Females,"14,585","20,049","10,224","5,223","4,112","1,505","1,059","2,122","58,769",,
Apr-24,April,2024,Male,0?4 years,"1,054","1,203",905,343,337,53,80,129,"4,101",,
Apr-24,April,2024,Male,5?9 years,873,"1,291",789,297,237,36,72,116,"3,708",,
Apr-24,April,2024,Male,10?14 years,768,"1,043",606,259,220,36,53,81,"3,065",,
Apr-24,April,2024,Male,15?17 years,770,651,386,127,171,47,40,42,"2,229",,
Apr-24,April,2024,Male,18?19 years,485,458,275,74,110,67,30,31,"1,529",,
Apr-24,April,2024,Male,20?24 years,919,"1,008",468,122,222,100,72,63,"2,969",,
Apr-24,April,2024,Male,25?29 years,537,790,338,112,192,97,51,55,"2,167",,
Apr-24,April,2024,Male,30?34 years,525,888,352,115,208,83,53,69,"2,285",,
Apr-24,April,2024,Male,35?39 years,572,"1,004",433,175,238,95,49,83,"2,642",,
Apr-24,April,2024,Male,40?44 years,667,"1,052",494,214,241,120,73,99,"2,948",,
Apr-24,April,2024,Male,45?49 years,592,912,453,232,205,81,69,79,"2,617",,
Apr-24,April,2024,Male,50?54 years,579,846,464,211,188,81,59,98,"2,521",,
Apr-24,April,2024,Male,55?59 years,393,583,292,136,137,83,44,91,"1,755",,
Apr-24,April,2024,Male,60?64 years,323,374,190,97,82,74,27,66,"1,230",,
Apr-24,April,2024,Male,65+ years,384,602,278,125,77,138,47,68,"1,717",,
Apr-24,April,2024,Male,All Males,"9,441","12,705","6,723","2,639","2,865","1,191",819,"1,170","37,483",,
Apr-24,April,2024,Total,0?4 years,"2,172","2,356","1,740",656,646,110,146,261,"8,084",,
Apr-24,April,2024,Total,5?9 years,"1,714","2,469","1,551",627,472,65,138,223,"7,255",,
Apr-24,April,2024,Total,10?14 years,"1,630","2,120","1,211",546,439,84,108,192,"6,329",,
Apr-24,April,2024,Total,15?17 years,"1,881","1,439",925,351,424,149,91,111,"5,363",,
Apr-24,April,2024,Total,18?19 years,"1,454","1,235",774,273,334,190,87,113,"4,454",,
Apr-24,April,2024,Total,20?24 years,"2,962","2,961","1,626",609,703,286,212,287,"9,629",,
Apr-24,April,2024,Total,25?29 years,"1,797","2,695","1,297",583,643,269,152,254,"7,668",,
Apr-24,April,2024,Total,30?34 years,"1,803","3,182","1,450",701,634,238,183,306,"8,475",,
Apr-24,April,2024,Total,35?39 years,"1,789","3,332","1,438",817,694,231,147,302,"8,727",,
Apr-24,April,2024,Total,40?44 years,"1,741","3,096","1,338",748,597,228,164,344,"8,234",,
Apr-24,April,2024,Total,45?49 years,"1,483","2,416","1,087",627,467,158,125,230,"6,575",,
Apr-24,April,2024,Total,50?54 years,"1,292","1,998",926,488,387,166,108,232,"5,577",,
Apr-24,April,2024,Total,55?59 years,826,"1,271",612,322,234,138,79,180,"3,656",,
Apr-24,April,2024,Total,60?64 years,650,832,383,235,141,125,59,123,"2,544",,
Apr-24,April,2024,Total,65+ years,832,"1,352",589,279,162,259,79,134,"3,682",,
Apr-24,April,2024,Total,All Ages,"24,026","32,754","16,947","7,862","6,977","2,696","1,878","3,292","96,252",,
Mar-24,March,2024,Female,0?4 years,"1,126","1,115",827,305,313,55,69,130,"3,939",,
Mar-24,March,2024,Female,5?9 years,882,"1,167",757,320,232,35,72,107,"3,570",,
Mar-24,March,2024,Female,10?14 years,866,"1,069",618,266,215,49,56,95,"3,234",,
Mar-24,March,2024,Female,15?17 years,"1,025",805,482,214,249,105,49,69,"2,998",,
Mar-24,March,2024,Female,18?19 years,963,783,519,195,213,117,57,80,"2,924",,
Mar-24,March,2024,Female,20?24 years,"2,027","1,954","1,147",473,474,190,148,225,"6,625",,
Mar-24,March,2024,Female,25?29 years,"1,287","1,873",932,433,446,165,95,209,"5,431",,
Mar-24,March,2024,Female,30?34 years,"1,262","2,329","1,100",578,427,160,145,250,"6,236",,
Mar-24,March,2024,Female,35?39 years,"1,249","2,343",996,628,469,143,100,209,"6,123",,
Mar-24,March,2024,Female,40?44 years,"1,101","2,012",862,512,367,103,88,225,"5,256",,
Mar-24,March,2024,Female,45?49 years,892,"1,492",624,383,259,80,58,161,"3,936",,
Mar-24,March,2024,Female,50?54 years,696,"1,130",471,280,201,88,50,130,"3,033",,
Mar-24,March,2024,Female,55?59 years,439,701,307,164,101,53,33,97,"1,891",,
Mar-24,March,2024,Female,60?64 years,327,473,201,135,57,55,35,62,"1,344",,
Mar-24,March,2024,Female,65+ years,456,731,303,147,77,124,35,58,"1,928",,
Mar-24,March,2024,Female,All Females,"14,598","19,977","10,146","5,033","4,100","1,522","1,090","2,107","58,468",,
Mar-24,March,2024,Male,0?4 years,"1,075","1,204",883,345,327,50,78,119,"4,080",,
Mar-24,March,2024,Male,5?9 years,913,"1,271",791,287,249,40,74,107,"3,731",,
Mar-24,March,2024,Male,10?14 years,781,"1,043",603,250,215,39,55,63,"3,049",,
Mar-24,March,2024,Male,15?17 years,692,644,386,123,172,54,40,45,"2,153",,
Mar-24,March,2024,Male,18?19 years,461,453,273,74,104,66,31,34,"1,494",,
Mar-24,March,2024,Male,20?24 years,909,"1,022",476,124,220,104,74,64,"2,987",,
Mar-24,March,2024,Male,25?29 years,540,796,318,113,192,90,45,50,"2,138",,
Mar-24,March,2024,Male,30?34 years,520,913,364,115,214,75,56,66,"2,317",,
Mar-24,March,2024,Male,35?39 years,552,"1,040",429,174,222,94,58,83,"2,645",,
Mar-24,March,2024,Male,40?44 years,649,"1,065",496,217,232,119,76,94,"2,931",,
Mar-24,March,2024,Male,45?49 years,611,948,425,222,199,78,65,87,"2,628",,
Mar-24,March,2024,Male,50?54 years,577,851,465,208,164,94,58,101,"2,510",,
Mar-24,March,2024,Male,55?59 years,385,550,299,147,137,87,39,101,"1,743",,
Mar-24,March,2024,Male,60?64 years,297,373,187,83,72,71,25,69,"1,175",,
Mar-24,March,2024,Male,65+ years,372,576,265,126,70,137,49,73,"1,667",,
Mar-24,March,2024,Male,All Males,"9,334","12,749","6,660","2,608","2,789","1,198",823,"1,156","37,248",,
Mar-24,March,2024,Total,0?4 years,"2,201","2,319","1,710",650,640,105,147,249,"8,019",,
Mar-24,March,2024,Total,5?9 years,"1,795","2,438","1,548",607,481,75,146,214,"7,301",,
Mar-24,March,2024,Total,10?14 years,"1,647","2,112","1,221",516,430,88,111,158,"6,283",,
Mar-24,March,2024,Total,15?17 years,"1,717","1,449",868,337,421,159,89,114,"5,151",,
Mar-24,March,2024,Total,18?19 years,"1,424","1,236",792,269,317,183,88,114,"4,418",,
Mar-24,March,2024,Total,20?24 years,"2,936","2,976","1,623",597,694,294,222,289,"9,612",,
Mar-24,March,2024,Total,25?29 years,"1,827","2,669","1,250",546,638,255,140,259,"7,569",,
Mar-24,March,2024,Total,30?34 years,"1,782","3,242","1,464",693,641,235,201,316,"8,553",,
Mar-24,March,2024,Total,35?39 years,"1,801","3,383","1,425",802,691,237,158,292,"8,768",,
Mar-24,March,2024,Total,40?44 years,"1,750","3,077","1,358",729,599,222,164,319,"8,187",,
Mar-24,March,2024,Total,45?49 years,"1,503","2,440","1,049",605,458,158,123,248,"6,564",,
Mar-24,March,2024,Total,50?54 years,"1,273","1,981",936,488,365,182,108,231,"5,543",,
Mar-24,March,2024,Total,55?59 years,824,"1,251",606,311,238,140,72,198,"3,634",,
Mar-24,March,2024,Total,60?64 years,624,846,388,218,129,126,60,131,"2,519",,
Mar-24,March,2024,Total,65+ years,828,"1,307",568,273,147,261,84,131,"3,595",,
Mar-24,March,2024,Total,All Ages,"23,932","32,726","16,806","7,641","6,889","2,720","1,913","3,263","95,716",,
Feb-24,February,2024,Female,0?4 years,"1,125","1,120",835,335,318,46,69,127,"3,973",,
Feb-24,February,2024,Female,5?9 years,868,"1,158",748,342,264,32,71,123,"3,602",,
Feb-24,February,2024,Female,10?14 years,876,"1,070",601,254,234,51,57,95,"3,237",,
Feb-24,February,2024,Female,15?17 years,"1,053",807,455,218,253,101,46,68,"2,999",,
Feb-24,February,2024,Female,18?19 years,987,795,534,196,205,115,55,88,"2,966",,
Feb-24,February,2024,Female,20?24 years,"1,970","1,975","1,150",487,467,187,156,220,"6,596",,
Feb-24,February,2024,Female,25?29 years,"1,268","1,874",925,482,424,162,91,213,"5,424",,
Feb-24,February,2024,Female,30?34 years,"1,274","2,321","1,096",604,446,153,140,253,"6,266",,
Feb-24,February,2024,Female,35?39 years,"1,249","2,337",979,624,485,144,99,234,"6,137",,
Feb-24,February,2024,Female,40?44 years,"1,108","2,114",886,523,374,110,89,230,"5,422",,
Feb-24,February,2024,Female,45?49 years,905,"1,493",634,401,259,81,55,166,"3,986",,
Feb-24,February,2024,Female,50?54 years,691,"1,120",474,306,196,81,47,125,"3,031",,
Feb-24,February,2024,Female,55?59 years,425,715,321,172,98,60,34,98,"1,920",,
Feb-24,February,2024,Female,60?64 years,310,476,205,126,66,54,36,65,"1,337",,
Feb-24,February,2024,Female,65+ years,448,766,304,142,82,122,35,56,"1,954",,
Feb-24,February,2024,Female,All Females,"14,557","20,141","10,147","5,212","4,171","1,499","1,080","2,161","58,850",,
Feb-24,February,2024,Male,0?4 years,"1,080","1,216",908,331,346,48,81,127,"4,135",,
Feb-24,February,2024,Male,5?9 years,889,"1,259",779,300,274,45,72,106,"3,724",,
Feb-24,February,2024,Male,10?14 years,743,"1,083",623,260,227,38,53,67,"3,093",,
Feb-24,February,2024,Male,15?17 years,691,664,367,113,169,58,38,43,"2,141",,
Feb-24,February,2024,Male,18?19 years,468,450,274,77,102,63,33,38,"1,505",,
Feb-24,February,2024,Male,20?24 years,876,"1,002",473,121,219,94,71,69,"2,920",,
Feb-24,February,2024,Male,25?29 years,520,788,328,126,181,93,42,53,"2,129",,
Feb-24,February,2024,Male,30?34 years,524,953,342,114,234,89,57,69,"2,376",,
Feb-24,February,2024,Male,35?39 years,542,"1,054",422,176,215,93,61,82,"2,635",,
Feb-24,February,2024,Male,40?44 years,663,"1,098",488,211,246,119,67,111,"2,991",,
Feb-24,February,2024,Male,45?49 years,594,969,446,222,196,83,73,88,"2,664",,
Feb-24,February,2024,Male,50?54 years,583,839,441,208,161,91,59,101,"2,473",,
Feb-24,February,2024,Male,55?59 years,403,548,314,152,126,82,42,95,"1,758",,
Feb-24,February,2024,Male,60?64 years,306,363,198,86,72,76,27,67,"1,193",,
Feb-24,February,2024,Male,65+ years,377,600,249,121,63,143,41,72,"1,662",,
Feb-24,February,2024,Male,All Males,"9,259","12,886","6,652","2,618","2,831","1,215",817,"1,188","37,399",,
Feb-24,February,2024,Total,0?4 years,"2,205","2,336","1,743",666,664,94,150,254,"8,108",,
Feb-24,February,2024,Total,5?9 years,"1,757","2,417","1,527",642,538,77,143,229,"7,326",,
Feb-24,February,2024,Total,10?14 years,"1,619","2,153","1,224",514,461,89,110,162,"6,330",,
Feb-24,February,2024,Total,15?17 years,"1,744","1,471",822,331,422,159,84,111,"5,140",,
Feb-24,February,2024,Total,18?19 years,"1,455","1,245",808,273,307,178,88,126,"4,471",,
Feb-24,February,2024,Total,20?24 years,"2,846","2,977","1,623",608,686,281,227,289,"9,516",,
Feb-24,February,2024,Total,25?29 years,"1,788","2,662","1,253",608,605,255,133,266,"7,553",,
Feb-24,February,2024,Total,30?34 years,"1,798","3,274","1,438",718,680,242,197,322,"8,642",,
Feb-24,February,2024,Total,35?39 years,"1,791","3,391","1,401",800,700,237,160,316,"8,772",,
Feb-24,February,2024,Total,40?44 years,"1,771","3,212","1,374",734,620,229,156,341,"8,413",,
Feb-24,February,2024,Total,45?49 years,"1,499","2,462","1,080",623,455,164,128,254,"6,650",,
Feb-24,February,2024,Total,50?54 years,"1,274","1,959",915,514,357,172,106,226,"5,504",,
Feb-24,February,2024,Total,55?59 years,828,"1,263",635,324,224,142,76,193,"3,678",,
Feb-24,February,2024,Total,60?64 years,616,839,403,212,138,130,63,132,"2,530",,
Feb-24,February,2024,Total,65+ years,825,"1,366",553,263,145,265,76,128,"3,616",,
Feb-24,February,2024,Total,All Ages,"23,816","33,027","16,799","7,830","7,002","2,714","1,897","3,349","96,249",,
Jan-24,January,2024,Female,0?4 years,"1,099","1,113",798,313,271,44,73,127,"3,836",,
Jan-24,January,2024,Female,5?9 years,866,"1,152",686,323,225,33,68,108,"3,459",,
Jan-24,January,2024,Female,10?14 years,841,"1,009",584,230,205,51,59,95,"3,072",,
Jan-24,January,2024,Female,15?17 years,960,817,442,204,234,98,40,68,"2,860",,
Jan-24,January,2024,Female,18?19 years,948,783,511,199,194,112,59,89,"2,892",,
Jan-24,January,2024,Female,20?24 years,"1,932","1,912","1,089",490,470,179,154,234,"6,440",,
Jan-24,January,2024,Female,25?29 years,"1,219","1,851",918,479,393,151,101,206,"5,301",,
Jan-24,January,2024,Female,30?34 years,"1,249","2,297","1,052",578,417,142,133,243,"6,091",,
Jan-24,January,2024,Female,35?39 years,"1,233","2,232",909,615,456,133,98,222,"5,875",,
Jan-24,January,2024,Female,40?44 years,"1,077","2,020",833,525,367,103,80,215,"5,210",,
Jan-24,January,2024,Female,45?49 years,877,"1,416",572,405,265,78,54,163,"3,819",,
Jan-24,January,2024,Female,50?54 years,658,"1,076",444,291,194,77,45,122,"2,901",,
Jan-24,January,2024,Female,55?59 years,397,662,315,166,87,59,32,87,"1,803",,
Jan-24,January,2024,Female,60?64 years,301,457,187,103,61,48,41,66,"1,263",,
Jan-24,January,2024,Female,65+ years,436,702,280,157,90,113,26,51,"1,854",,
Jan-24,January,2024,Female,All Females,"14,093","19,499","9,620","5,078","3,929","1,421","1,063","2,096","56,676",,
Jan-24,January,2024,Male,0?4 years,"1,092","1,248",908,320,321,47,78,117,"4,129",,
Jan-24,January,2024,Male,5?9 years,868,"1,258",763,304,228,50,72,99,"3,641",,
Jan-24,January,2024,Male,10?14 years,728,"1,080",615,254,181,34,50,63,"3,004",,
