Month and Year,Month,Year,Sex,Client Group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,
Dec-23,December,2023,Female,Number of clients who are at risk of homelessness,"6,631","10,266","4,108","2,815","1,925",498,441,904,"27,543",
Dec-23,December,2023,Male,Number of Indigenous clients,"2,769","1,530","1,987","1,011",669,198,145,893,"9,185",
Dec-23,December,2023,Male,Number of clients who have experienced family and domestic violence,"1,985","3,487","1,105",725,309,117,159,200,"8,083",
Dec-23,December,2023,Male,Number of clients with a current mental health issue,"2,824","3,612","1,403",551,632,466,265,99,"9,839",
Dec-23,December,2023,Male,Number of clients with problematic drug or alcohol issues,800,"1,403",419,323,245,154,92,86,"3,516",
Dec-23,December,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,49,790,177,3,24,10,7,2,"1,062",
Dec-23,December,2023,Male,Number of nights in short-term/emergency accommodation,"19,442","23,750","43,272","10,255","3,317","5,354","3,031","1,922","110,343",
Dec-23,December,2023,Male,Number of clients accommodated in short-term/emergency accommodation,924,"1,655","1,728",669,177,305,122,146,"5,722",
Dec-23,December,2023,Male,Number of clients who are homeless,"4,906","6,016","3,666","1,395","1,387",740,384,769,"19,231",
Dec-23,December,2023,Male,Number of clients who are at risk of homelessness,"3,785","5,650","2,333","1,033","1,123",428,369,303,"15,004",
Dec-23,December,2023,Total,Number of Indigenous clients,"7,218","4,242","5,255","3,304","1,758",470,361,"2,644","25,203",
Dec-23,December,2023,Total,Number of clients who have experienced family and domestic violence,"7,908","13,525","4,162","3,606","1,496",525,661,"1,177","33,015",
Dec-23,December,2023,Total,Number of clients with a current mental health issue,"7,719","9,206","3,723","1,978","1,741","1,130",705,315,"26,481",
Dec-23,December,2023,Total,Number of clients with problematic drug or alcohol issues,"1,651","2,540",855,780,430,235,209,191,"6,882",
Dec-23,December,2023,Total,Number of clients financially assisted with payments for short term/emergency accommodation,156,"1,739",635,72,88,60,21,35,"2,805",
Dec-23,December,2023,Total,Number of nights in short-term/emergency accommodation,"47,555","55,137","104,076","24,170","8,630","11,324","8,422","5,498","264,812",
Dec-23,December,2023,Total,Number of clients accommodated in short-term/emergency accommodation,"2,194","3,592","4,214","1,829",458,611,321,623,"13,836",
Dec-23,December,2023,Total,Number of clients who are homeless,"11,690","13,531","8,541","3,465","3,147","1,593",938,"1,784","44,615",
Dec-23,December,2023,Total,Number of clients who are at risk of homelessness,"10,416","15,916","6,441","3,848","3,048",926,810,"1,207","42,547",
Nov-23,November,2023,Female,Number of Indigenous clients,"4,637","2,806","3,443","2,347","1,171",288,235,"1,796","16,680",
Nov-23,November,2023,Female,Number of clients who have experienced family and domestic violence,"6,226","10,534","3,243","2,962","1,231",437,532,989,"26,102",
Nov-23,November,2023,Female,Number of clients with a current mental health issue,"5,280","5,869","2,480","1,496","1,182",720,452,226,"17,682",
Nov-23,November,2023,Female,Number of clients with problematic drug or alcohol issues,921,"1,194",487,472,202,88,122,106,"3,591",
Nov-23,November,2023,Female,Number of clients financially assisted with payments for short term/emergency accommodation,112,950,491,59,59,43,15,29,"1,756",
Nov-23,November,2023,Female,Number of nights in short-term/emergency accommodation,"27,652","29,165","58,054","13,424","5,261","5,856","5,511","3,521","148,444",
Nov-23,November,2023,Female,Number of clients accommodated in short-term/emergency accommodation,"1,387","1,949","2,472","1,144",298,315,203,460,"8,218",
Nov-23,November,2023,Female,Number of clients who are homeless,"7,127","7,759","5,100","2,166","1,864",890,576,"1,039","26,463",
Nov-23,November,2023,Female,Number of clients who are at risk of homelessness,"6,927","10,628","4,291","2,870","2,112",518,485,943,"28,725",
Nov-23,November,2023,Male,Number of Indigenous clients,"2,945","1,617","2,058","1,059",722,209,151,901,"9,642",
Nov-23,November,2023,Male,Number of clients who have experienced family and domestic violence,"2,126","3,656","1,134",727,315,116,166,198,"8,434",
Nov-23,November,2023,Male,Number of clients with a current mental health issue,"2,953","3,795","1,447",588,654,477,259,114,"10,265",
Nov-23,November,2023,Male,Number of clients with problematic drug or alcohol issues,875,"1,484",469,335,244,152,98,92,"3,743",
Nov-23,November,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,35,763,149,6,11,10,11,4,988,
Nov-23,November,2023,Male,Number of nights in short-term/emergency accommodation,"20,027","21,634","42,217","9,800","3,203","5,068","3,013","1,873","106,835",
Nov-23,November,2023,Male,Number of clients accommodated in short-term/emergency accommodation,971,"1,644","1,734",684,173,278,130,133,"5,740",
Nov-23,November,2023,Male,Number of clients who are homeless,"5,219","6,339","3,900","1,436","1,508",749,389,822,"20,313",
Nov-23,November,2023,Male,Number of clients who are at risk of homelessness,"3,947","6,063","2,450","1,054","1,232",421,376,306,"15,823",
Nov-23,November,2023,Total,Number of Indigenous clients,"7,582","4,423","5,501","3,406","1,893",497,386,"2,697","26,322",
Nov-23,November,2023,Total,Number of clients who have experienced family and domestic violence,"8,352","14,190","4,377","3,689","1,546",553,698,"1,187","34,536",
Nov-23,November,2023,Total,Number of clients with a current mental health issue,"8,233","9,664","3,927","2,084","1,836","1,197",711,340,"27,947",
Nov-23,November,2023,Total,Number of clients with problematic drug or alcohol issues,"1,796","2,678",956,807,446,240,220,198,"7,334",
Nov-23,November,2023,Total,Number of clients financially assisted with payments for short term/emergency accommodation,147,"1,713",640,65,70,53,26,33,"2,744",
Nov-23,November,2023,Total,Number of nights in short-term/emergency accommodation,"47,679","50,799","100,271","23,224","8,464","10,924","8,524","5,394","255,279",
Nov-23,November,2023,Total,Number of clients accommodated in short-term/emergency accommodation,"2,358","3,593","4,206","1,828",471,593,333,593,"13,958",
Nov-23,November,2023,Total,Number of clients who are homeless,"12,346","14,098","9,000","3,602","3,372","1,639",965,"1,861","46,776",
Nov-23,November,2023,Total,Number of clients who are at risk of homelessness,"10,874","16,691","6,741","3,924","3,344",939,861,"1,249","44,548",
Oct-23,October,2023,Female,Number of Indigenous clients,"4,615","2,864","3,406","2,387","1,231",307,241,"1,827","16,840",
Oct-23,October,2023,Female,Number of clients who have experienced family and domestic violence,"6,183","10,476","3,274","2,935","1,208",456,529,992,"26,015",
Oct-23,October,2023,Female,Number of clients with a current mental health issue,"5,299","5,866","2,494","1,517","1,154",718,469,220,"17,722",
Oct-23,October,2023,Female,Number of clients with problematic drug or alcohol issues,903,"1,147",497,475,208,88,120,105,"3,541",
Oct-23,October,2023,Female,Number of clients financially assisted with payments for short term/emergency accommodation,112,895,473,57,48,54,26,26,"1,690",
Oct-23,October,2023,Female,Number of nights in short-term/emergency accommodation,"28,020","29,318","58,811","13,737","5,474","6,089","6,018","3,470","150,937",
Oct-23,October,2023,Female,Number of clients accommodated in short-term/emergency accommodation,"1,329","1,896","2,434","1,218",305,325,215,477,"8,190",
Oct-23,October,2023,Female,Number of clients who are homeless,"7,103","7,746","5,123","2,124","1,978",895,601,"1,063","26,574",
Oct-23,October,2023,Female,Number of clients who are at risk of homelessness,"6,852","10,519","4,300","2,878","2,096",558,472,954,"28,587",
Oct-23,October,2023,Male,Number of Indigenous clients,"2,939","1,651","2,086","1,045",741,212,164,942,"9,763",
Oct-23,October,2023,Male,Number of clients who have experienced family and domestic violence,"2,038","3,540","1,158",719,317,123,166,206,"8,262",
Oct-23,October,2023,Male,Number of clients with a current mental health issue,"2,892","3,813","1,456",601,658,504,292,124,"10,325",
Oct-23,October,2023,Male,Number of clients with problematic drug or alcohol issues,884,"1,473",486,328,218,162,108,89,"3,745",
Oct-23,October,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,44,781,136,11,7,9,11,5,"1,004",
Oct-23,October,2023,Male,Number of nights in short-term/emergency accommodation,"19,518","21,830","43,356","8,601","3,629","5,445","3,324","1,895","107,598",
Oct-23,October,2023,Male,Number of clients accommodated in short-term/emergency accommodation,975,"1,592","1,732",650,194,304,137,146,"5,725",
Oct-23,October,2023,Male,Number of clients who are homeless,"5,233","6,331","3,901","1,472","1,560",775,419,860,"20,507",
Oct-23,October,2023,Male,Number of clients who are at risk of homelessness,"3,824","5,989","2,518","1,022","1,176",456,388,329,"15,678",
Oct-23,October,2023,Total,Number of Indigenous clients,"7,554","4,515","5,492","3,432","1,972",519,405,"2,769","26,603",
Oct-23,October,2023,Total,Number of clients who have experienced family and domestic violence,"8,221","14,016","4,432","3,654","1,525",579,695,"1,198","34,277",
Oct-23,October,2023,Total,Number of clients with a current mental health issue,"8,191","9,679","3,950","2,118","1,812","1,222",761,344,"28,047",
Oct-23,October,2023,Total,Number of clients with problematic drug or alcohol issues,"1,787","2,620",983,803,426,250,228,194,"7,286",
Oct-23,October,2023,Total,Number of clients financially assisted with payments for short term/emergency accommodation,156,"1,676",609,68,55,63,37,31,"2,694",
Oct-23,October,2023,Total,Number of nights in short-term/emergency accommodation,"47,538","51,148","102,167","22,338","9,103","11,534","9,342","5,365","258,535",
Oct-23,October,2023,Total,Number of clients accommodated in short-term/emergency accommodation,"2,304","3,488","4,166","1,868",499,629,352,623,"13,915",
Oct-23,October,2023,Total,Number of clients who are homeless,"12,336","14,077","9,024","3,596","3,538","1,670","1,020","1,923","47,081",
Oct-23,October,2023,Total,Number of clients who are at risk of homelessness,"10,676","16,508","6,818","3,900","3,272","1,014",860,"1,283","44,265",
Sep-23,September,2023,Female,Number of Indigenous clients,"4,644","2,755","3,304","2,320","1,177",285,242,"1,765","16,438",
Sep-23,September,2023,Female,Number of clients who have experienced family and domestic violence,"6,128","10,098","3,185","2,841","1,203",447,516,957,"25,332",
Sep-23,September,2023,Female,Number of clients with a current mental health issue,"5,280","5,738","2,465","1,443","1,153",731,454,213,"17,456",
Sep-23,September,2023,Female,Number of clients with problematic drug or alcohol issues,908,"1,166",499,481,203,96,122,100,"3,574",
Sep-23,September,2023,Female,Number of clients financially assisted with payments for short term/emergency accommodation,116,823,459,67,44,44,26,30,"1,609",
Sep-23,September,2023,Female,Number of nights in short-term/emergency accommodation,"28,305","28,370","55,823","12,574","4,976","5,751","5,741","3,165","144,705",
Sep-23,September,2023,Female,Number of clients accommodated in short-term/emergency accommodation,"1,378","1,786","2,352","1,070",292,307,222,500,"7,903",
Sep-23,September,2023,Female,Number of clients who are homeless,"7,054","7,574","5,043","2,136","1,943",903,594,"1,030","26,214",
Sep-23,September,2023,Female,Number of clients who are at risk of homelessness,"6,934","10,222","4,216","2,761","2,027",551,467,913,"28,034",
Sep-23,September,2023,Male,Number of Indigenous clients,"2,883","1,619","2,005","1,029",735,206,160,969,"9,589",
Sep-23,September,2023,Male,Number of clients who have experienced family and domestic violence,"1,985","3,440","1,103",718,295,115,155,229,"8,038",
Sep-23,September,2023,Male,Number of clients with a current mental health issue,"2,830","3,722","1,445",605,694,502,293,121,"10,201",
Sep-23,September,2023,Male,Number of clients with problematic drug or alcohol issues,889,"1,434",486,348,232,153,101,89,"3,729",
Sep-23,September,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,46,716,128,8,15,18,17,1,949,
Sep-23,September,2023,Male,Number of nights in short-term/emergency accommodation,"19,063","20,426","41,450","8,898","3,388","5,075","2,963","1,811","103,074",
Sep-23,September,2023,Male,Number of clients accommodated in short-term/emergency accommodation,932,"1,524","1,768",626,177,292,132,164,"5,611",
Sep-23,September,2023,Male,Number of clients who are homeless,"5,169","6,203","3,839","1,514","1,548",759,413,870,"20,276",
Sep-23,September,2023,Male,Number of clients who are at risk of homelessness,"3,817","5,756","2,479",989,"1,126",440,391,340,"15,320",
Sep-23,September,2023,Total,Number of Indigenous clients,"7,527","4,374","5,309","3,349","1,912",491,402,"2,734","26,027",
Sep-23,September,2023,Total,Number of clients who have experienced family and domestic violence,"8,113","13,538","4,288","3,559","1,498",562,671,"1,186","33,370",
Sep-23,September,2023,Total,Number of clients with a current mental health issue,"8,110","9,460","3,910","2,048","1,847","1,233",747,334,"27,657",
Sep-23,September,2023,Total,Number of clients with problematic drug or alcohol issues,"1,797","2,600",985,829,435,249,223,189,"7,303",
Sep-23,September,2023,Total,Number of clients financially assisted with payments for short term/emergency accommodation,162,"1,539",587,75,59,62,43,31,"2,558",
Sep-23,September,2023,Total,Number of nights in short-term/emergency accommodation,"47,368","48,796","97,273","21,472","8,364","10,826","8,704","4,976","247,779",
Sep-23,September,2023,Total,Number of clients accommodated in short-term/emergency accommodation,"2,310","3,310","4,120","1,696",469,599,354,664,"13,514",
Sep-23,September,2023,Total,Number of clients who are homeless,"12,223","13,777","8,882","3,650","3,491","1,662","1,007","1,900","46,490",
Sep-23,September,2023,Total,Number of clients who are at risk of homelessness,"10,751","15,978","6,695","3,750","3,153",991,858,"1,253","43,354",
Aug-23,August,2023,Female,Number of Indigenous clients,"4,749","2,870","3,456","2,385","1,213",278,241,"1,787","16,937",
Aug-23,August,2023,Female,Number of clients who have experienced family and domestic violence,"6,258","10,351","3,229","2,855","1,291",451,537,958,"25,895",
Aug-23,August,2023,Female,Number of clients with a current mental health issue,"5,396","6,056","2,503","1,496","1,222",724,463,205,"18,045",
Aug-23,August,2023,Female,Number of clients with problematic drug or alcohol issues,934,"1,179",505,482,209,95,127,135,"3,664",
Aug-23,August,2023,Female,Number of clients financially assisted with payments for short term/emergency accommodation,145,907,464,73,63,57,42,22,"1,773",
Aug-23,August,2023,Female,Number of nights in short-term/emergency accommodation,"28,527","28,400","57,820","13,756","5,219","5,675","6,280","3,122","148,799",
Aug-23,August,2023,Female,Number of clients accommodated in short-term/emergency accommodation,"1,356","1,850","2,393","1,203",304,305,238,494,"8,135",
Aug-23,August,2023,Female,Number of clients who are homeless,"7,124","7,716","5,148","2,156","1,999",921,609,"1,041","26,647",
Aug-23,August,2023,Female,Number of clients who are at risk of homelessness,"7,064","10,765","4,268","2,911","2,179",533,482,937,"29,093",
Aug-23,August,2023,Male,Number of Indigenous clients,"3,002","1,711","2,115","1,081",754,197,157,969,"9,973",
Aug-23,August,2023,Male,Number of clients who have experienced family and domestic violence,"2,063","3,479","1,152",767,306,109,158,245,"8,279",
Aug-23,August,2023,Male,Number of clients with a current mental health issue,"2,944","3,882","1,465",610,697,517,292,120,"10,513",
Aug-23,August,2023,Male,Number of clients with problematic drug or alcohol issues,920,"1,504",449,323,248,138,101,89,"3,765",
Aug-23,August,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,50,826,148,6,22,17,20,6,"1,095",
Aug-23,August,2023,Male,Number of nights in short-term/emergency accommodation,"20,211","20,005","43,199","9,161","3,615","4,933","3,152","1,998","106,274",
Aug-23,August,2023,Male,Number of clients accommodated in short-term/emergency accommodation,999,"1,604","1,776",701,192,298,135,166,"5,868",
Aug-23,August,2023,Male,Number of clients who are homeless,"5,197","6,431","4,009","1,527","1,566",772,418,877,"20,760",
Aug-23,August,2023,Male,Number of clients who are at risk of homelessness,"3,983","6,184","2,489","1,107","1,153",438,375,328,"16,040",
Aug-23,August,2023,Total,Number of Indigenous clients,"7,751","4,581","5,571","3,466","1,967",475,398,"2,756","26,910",
Aug-23,August,2023,Total,Number of clients who have experienced family and domestic violence,"8,321","13,830","4,381","3,622","1,597",560,695,"1,203","34,174",
Aug-23,August,2023,Total,Number of clients with a current mental health issue,"8,340","9,938","3,968","2,106","1,919","1,241",755,325,"28,558",
Aug-23,August,2023,Total,Number of clients with problematic drug or alcohol issues,"1,854","2,683",954,805,457,233,228,224,"7,429",
Aug-23,August,2023,Total,Number of clients financially assisted with payments for short term/emergency accommodation,195,"1,733",612,79,85,74,62,28,"2,868",
Aug-23,August,2023,Total,Number of nights in short-term/emergency accommodation,"48,738","48,405","101,019","22,917","8,834","10,608","9,432","5,120","255,073",
Aug-23,August,2023,Total,Number of clients accommodated in short-term/emergency accommodation,"2,355","3,454","4,169","1,904",496,603,373,660,"14,003",
Aug-23,August,2023,Total,Number of clients who are homeless,"12,321","14,147","9,157","3,683","3,565","1,693","1,027","1,918","47,407",
Aug-23,August,2023,Total,Number of clients who are at risk of homelessness,"11,047","16,949","6,757","4,018","3,332",971,857,"1,265","45,133",
Jul-23,July,2023,Female,Number of Indigenous clients,"4,645","2,723","3,282","2,242","1,190",271,237,"1,746","16,304",
Jul-23,July,2023,Female,Number of clients who have experienced family and domestic violence,"6,018","10,022","3,200","2,819","1,183",430,505,908,"25,058",
Jul-23,July,2023,Female,Number of clients with a current mental health issue,"5,341","5,845","2,408","1,447","1,150",696,437,192,"17,500",
Jul-23,July,2023,Female,Number of clients with problematic drug or alcohol issues,914,"1,190",482,487,195,82,123,133,"3,603",
Jul-23,July,2023,Female,Number of clients financially assisted with payments for short term/emergency accommodation,97,907,430,56,45,51,52,21,"1,658",
Jul-23,July,2023,Female,Number of nights in short-term/emergency accommodation,"27,653","31,599","58,146","13,391","5,218","5,324","6,797","2,911","151,039",
Jul-23,July,2023,Female,Number of clients accommodated in short-term/emergency accommodation,"1,295","2,024","2,414","1,088",300,312,248,445,"8,119",
Jul-23,July,2023,Female,Number of clients who are homeless,"6,943","7,551","4,888","2,006","1,899",880,609,840,"25,560",
Jul-23,July,2023,Female,Number of clients who are at risk of homelessness,"6,936","10,311","4,159","2,827","2,140",525,476,860,"28,195",
Jul-23,July,2023,Male,Number of Indigenous clients,"2,943","1,594","2,001","1,025",717,183,147,944,"9,539",
Jul-23,July,2023,Male,Number of clients who have experienced family and domestic violence,"2,020","3,344","1,099",746,302,103,155,213,"7,981",
Jul-23,July,2023,Male,Number of clients with a current mental health issue,"2,924","3,802","1,395",593,667,514,286,115,"10,280",
Jul-23,July,2023,Male,Number of clients with problematic drug or alcohol issues,927,"1,546",433,312,260,143,102,93,"3,809",
Jul-23,July,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,59,777,126,12,16,11,20,2,"1,023",
Jul-23,July,2023,Male,Number of nights in short-term/emergency accommodation,"19,496","20,439","43,881","8,868","3,314","4,357","3,238","1,860","105,453",
Jul-23,July,2023,Male,Number of clients accommodated in short-term/emergency accommodation,978,"1,622","1,786",622,189,259,138,169,"5,760",
Jul-23,July,2023,Male,Number of clients who are homeless,"5,036","6,217","3,683","1,355","1,509",705,408,623,"19,495",
Jul-23,July,2023,Male,Number of clients who are at risk of homelessness,"3,953","5,997","2,435","1,116","1,187",445,386,293,"15,789",
Jul-23,July,2023,Total,Number of Indigenous clients,"7,588","4,317","5,283","3,267","1,907",454,384,"2,690","25,843",
Jul-23,July,2023,Total,Number of clients who have experienced family and domestic violence,"8,038","13,366","4,299","3,565","1,485",533,660,"1,121","33,039",
Jul-23,July,2023,Total,Number of clients with a current mental health issue,"8,265","9,647","3,803","2,040","1,817","1,210",723,307,"27,780",
Jul-23,July,2023,Total,Number of clients with problematic drug or alcohol issues,"1,841","2,736",915,799,455,225,225,226,"7,412",
Jul-23,July,2023,Total,Number of clients financially assisted with payments for short term/emergency accommodation,156,"1,684",556,68,61,62,72,23,"2,681",
Jul-23,July,2023,Total,Number of nights in short-term/emergency accommodation,"47,149","52,038","102,027","22,259","8,532","9,681","10,035","4,771","256,492",
Jul-23,July,2023,Total,Number of clients accommodated in short-term/emergency accommodation,"2,273","3,646","4,200","1,710",489,571,386,614,"13,879",
Jul-23,July,2023,Total,Number of clients who are homeless,"11,979","13,768","8,571","3,361","3,408","1,585","1,017","1,463","45,055",
Jul-23,July,2023,Total,Number of clients who are at risk of homelessness,"10,889","16,308","6,594","3,943","3,327",970,862,"1,153","43,984",
Jun-23,June,2023,Female,Number of Indigenous clients,"4,667","2,715","3,339","2,255","1,216",259,220,"1,729","16,364",
Jun-23,June,2023,Female,Number of clients who have experienced family and domestic violence,"5,954","10,061","3,247","2,762","1,252",407,477,924,"25,055",
Jun-23,June,2023,Female,Number of clients with a current mental health issue,"5,279","5,958","2,436","1,443","1,222",675,453,195,"17,643",
Jun-23,June,2023,Female,Number of clients with problematic drug or alcohol issues,870,"1,261",440,464,213,76,130,118,"3,569",
Jun-23,June,2023,Female,Number of clients financially assisted with payments for short term/emergency accommodation,125,"1,028",503,68,57,44,50,20,"1,893",
Jun-23,June,2023,Female,Number of nights in short-term/emergency accommodation,"27,288","32,641","55,624","12,828","5,269","5,136","6,265","3,233","148,284",
Jun-23,June,2023,Female,Number of clients accommodated in short-term/emergency accommodation,"1,293","2,089","2,383","1,056",318,295,228,425,"8,081",
Jun-23,June,2023,Female,Number of clients who are homeless,"6,829","7,828","4,844","1,967","1,956",884,593,825,"25,654",
Jun-23,June,2023,Female,Number of clients who are at risk of homelessness,"7,069","10,466","4,372","2,818","2,198",488,496,904,"28,772",
Jun-23,June,2023,Male,Number of Indigenous clients,"2,955","1,670","2,012","1,055",753,161,146,933,"9,670",
Jun-23,June,2023,Male,Number of clients who have experienced family and domestic violence,"2,034","3,370","1,112",733,299,95,147,237,"8,026",
Jun-23,June,2023,Male,Number of clients with a current mental health issue,"2,933","3,854","1,370",632,718,484,290,126,"10,393",
Jun-23,June,2023,Male,Number of clients with problematic drug or alcohol issues,897,"1,574",422,320,271,150,104,96,"3,830",
Jun-23,June,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,68,869,114,10,14,14,24,4,"1,117",
Jun-23,June,2023,Male,Number of nights in short-term/emergency accommodation,"19,203","22,161","42,260","8,432","3,519","4,603","3,084","1,969","105,231",
Jun-23,June,2023,Male,Number of clients accommodated in short-term/emergency accommodation,959,"1,730","1,776",625,203,272,132,161,"5,851",
Jun-23,June,2023,Male,Number of clients who are homeless,"5,155","6,491","3,652","1,400","1,579",699,413,610,"19,951",
Jun-23,June,2023,Male,Number of clients who are at risk of homelessness,"3,990","6,163","2,493","1,125","1,264",442,378,309,"16,144",
Jun-23,June,2023,Total,Number of Indigenous clients,"7,622","4,385","5,351","3,310","1,969",420,366,"2,662","26,034",
Jun-23,June,2023,Total,Number of clients who have experienced family and domestic violence,"7,988","13,431","4,359","3,495","1,551",502,624,"1,161","33,081",
Jun-23,June,2023,Total,Number of clients with a current mental health issue,"8,212","9,812","3,806","2,075","1,940","1,159",743,321,"28,036",
Jun-23,June,2023,Total,Number of clients with problematic drug or alcohol issues,"1,767","2,835",862,784,484,226,234,214,"7,399",
Jun-23,June,2023,Total,Number of clients financially assisted with payments for short term/emergency accommodation,193,"1,897",617,78,71,58,74,24,"3,010",
Jun-23,June,2023,Total,Number of nights in short-term/emergency accommodation,"46,491","54,802","97,884","21,260","8,788","9,739","9,349","5,202","253,515",
Jun-23,June,2023,Total,Number of clients accommodated in short-term/emergency accommodation,"2,252","3,819","4,159","1,681",521,567,360,586,"13,932",
Jun-23,June,2023,Total,Number of clients who are homeless,"11,984","14,319","8,496","3,367","3,535","1,583","1,006","1,435","45,605",
Jun-23,June,2023,Total,Number of clients who are at risk of homelessness,"11,059","16,629","6,865","3,943","3,462",930,874,"1,213","44,916",
May-23,May,2023,Female,Number of Indigenous clients,"4,753","2,788","3,467","2,292","1,208",271,226,"1,752","16,719",
May-23,May,2023,Female,Number of clients who have experienced family and domestic violence,"6,163","10,184","3,246","2,726","1,323",413,502,904,"25,424",
May-23,May,2023,Female,Number of clients with a current mental health issue,"5,438","6,107","2,469","1,428","1,219",676,454,190,"17,962",
May-23,May,2023,Female,Number of clients with problematic drug or alcohol issues,894,"1,273",455,494,188,68,123,89,"3,581",
May-23,May,2023,Female,Number of clients financially assisted with payments for short term/emergency accommodation,154,"1,067",537,71,56,53,61,31,"2,028",
May-23,May,2023,Female,Number of nights in short-term/emergency accommodation,"28,980","34,117","57,080","13,586","5,715","5,452","6,592","3,332","154,854",
May-23,May,2023,Female,Number of clients accommodated in short-term/emergency accommodation,"1,399","2,141","2,390","1,053",343,300,243,419,"8,283",
May-23,May,2023,Female,Number of clients who are homeless,"6,900","7,899","4,989","1,991","1,970",894,588,812,"25,986",
May-23,May,2023,Female,Number of clients who are at risk of homelessness,"7,250","10,733","4,372","2,768","2,270",520,512,868,"29,234",
May-23,May,2023,Male,Number of Indigenous clients,"2,973","1,713","2,099","1,043",718,177,139,943,"9,789",
May-23,May,2023,Male,Number of clients who have experienced family and domestic violence,"2,102","3,419","1,131",683,331,109,154,226,"8,153",
May-23,May,2023,Male,Number of clients with a current mental health issue,"2,908","3,938","1,364",594,717,476,289,141,"10,405",
May-23,May,2023,Male,Number of clients with problematic drug or alcohol issues,928,"1,622",453,318,270,151,105,94,"3,938",
May-23,May,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,84,973,138,6,31,18,25,2,"1,276",
May-23,May,2023,Male,Number of nights in short-term/emergency accommodation,"19,843","23,549","43,085","8,665","3,816","5,298","3,118","2,175","109,549",
May-23,May,2023,Male,Number of clients accommodated in short-term/emergency accommodation,995,"1,845","1,798",591,211,278,137,165,"6,016",
May-23,May,2023,Male,Number of clients who are homeless,"5,185","6,610","3,867","1,379","1,522",724,393,624,"20,259",
May-23,May,2023,Male,Number of clients who are at risk of homelessness,"3,999","6,271","2,498","1,075","1,285",421,399,304,"16,232",
May-23,May,2023,Total,Number of Indigenous clients,"7,726","4,501","5,566","3,335","1,926",448,365,"2,695","26,508",
May-23,May,2023,Total,Number of clients who have experienced family and domestic violence,"8,265","13,603","4,377","3,409","1,654",522,656,"1,130","33,577",
May-23,May,2023,Total,Number of clients with a current mental health issue,"8,346","10,045","3,833","2,022","1,936","1,152",743,331,"28,367",
May-23,May,2023,Total,Number of clients with problematic drug or alcohol issues,"1,822","2,895",908,812,458,219,228,183,"7,519",
May-23,May,2023,Total,Number of clients financially assisted with payments for short term/emergency accommodation,238,"2,040",675,77,87,71,86,33,"3,304",
May-23,May,2023,Total,Number of nights in short-term/emergency accommodation,"48,823","57,666","100,165","22,251","9,531","10,750","9,710","5,507","264,403",
May-23,May,2023,Total,Number of clients accommodated in short-term/emergency accommodation,"2,394","3,986","4,188","1,644",554,578,380,584,"14,299",
May-23,May,2023,Total,Number of clients who are homeless,"12,085","14,509","8,856","3,370","3,492","1,618",981,"1,436","46,245",
May-23,May,2023,Total,Number of clients who are at risk of homelessness,"11,249","17,004","6,870","3,843","3,555",941,911,"1,172","45,466",
Apr-23,April,2023,Female,Number of Indigenous clients,"4,549","2,573","3,329","2,188","1,095",272,214,"1,680","15,865",
Apr-23,April,2023,Female,Number of clients who have experienced family and domestic violence,"5,910","9,601","3,098","2,654","1,205",403,501,840,"24,183",
Apr-23,April,2023,Female,Number of clients with a current mental health issue,"5,191","5,698","2,277","1,324","1,137",657,451,161,"16,878",
Apr-23,April,2023,Female,Number of clients with problematic drug or alcohol issues,831,"1,203",430,450,172,75,124,88,"3,372",
Apr-23,April,2023,Female,Number of clients financially assisted with payments for short term/emergency accommodation,104,942,557,63,50,46,59,23,"1,842",
Apr-23,April,2023,Female,Number of nights in short-term/emergency accommodation,"27,845","33,314","56,931","13,322","4,982","5,337","6,532","3,197","151,460",
Apr-23,April,2023,Female,Number of clients accommodated in short-term/emergency accommodation,"1,310","2,021","2,429","1,040",301,289,244,411,"8,041",
Apr-23,April,2023,Female,Number of clients who are homeless,"6,564","7,620","4,875","1,884","1,818",865,585,764,"24,919",
Apr-23,April,2023,Female,Number of clients who are at risk of homelessness,"7,086","9,836","4,080","2,653","2,142",522,485,905,"27,672",
Apr-23,April,2023,Male,Number of Indigenous clients,"2,798","1,562","1,992",984,662,178,133,848,"9,142",
Apr-23,April,2023,Male,Number of clients who have experienced family and domestic violence,"1,945","3,273","1,052",674,320,114,161,196,"7,734",
Apr-23,April,2023,Male,Number of clients with a current mental health issue,"2,756","3,765","1,280",559,637,457,294,128,"9,859",
Apr-23,April,2023,Male,Number of clients with problematic drug or alcohol issues,863,"1,539",427,289,245,147,95,88,"3,689",
Apr-23,April,2023,Male,Number of clients financially assisted with payments for short term/emergency accommodation,62,733,176,8,18,14,21,4,"1,035",
Apr-23,April,2023,Male,Number of nights in short-term/emergency accommodation,"18,922","23,044","42,271","8,436","3,751","5,262","2,967","1,990","106,643",
