Month and Year,Month,Year,Sex,Client Group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,
May-25,May,2025,Total,Number of nights in short-term/emergency accommodation,"50,255","59,733","163,737","25,021","6,466","13,317","7,811","4,333","330,673",
May-25,May,2025,Total,Number of clients accommodated in short-term/emergency accommodation,"2,322","4,012","6,707","1,734",374,633,306,507,"16,578",
May-25,May,2025,Total,Number of clients who are homeless,"12,884","15,150","12,538","3,856","3,080","1,425",960,"1,573","51,358",
May-25,May,2025,Total,Number of clients who are at risk of homelessness,"10,930","17,149","7,141","3,791","3,220",861,998,"1,292","45,309",
Apr-25,April,2025,Female,Number of Indigenous clients,"5,075","3,063","4,245","2,294","1,103",232,206,"1,990","18,165",
Apr-25,April,2025,Female,Number of clients who have experienced family and domestic violence,"6,654","10,969","4,111","3,057","1,275",390,601,954,"27,959",
Apr-25,April,2025,Female,Number of clients with a current mental health issue,"5,362","5,746","2,864","1,487","1,241",540,517,205,"17,927",
Apr-25,April,2025,Female,Number of clients with problematic drug or alcohol issues,914,"1,056",526,522,232,82,94,80,"3,503",
Apr-25,April,2025,Female,Number of nights in short-term/emergency accommodation,"29,918","32,719","93,487","12,855","3,914","7,004","4,881","2,429","187,207",
Apr-25,April,2025,Female,Number of clients accommodated in short-term/emergency accommodation,"1,358","2,064","3,915","1,029",256,337,193,368,"9,513",
Apr-25,April,2025,Female,Number of clients who are homeless,"7,399","8,241","7,067","2,318","1,669",760,552,904,"28,843",
Apr-25,April,2025,Female,Number of clients who are at risk of homelessness,"6,988","10,949","4,610","2,778","2,125",418,542,"1,126","29,485",
Apr-25,April,2025,Male,Number of Indigenous clients,"2,963","1,902","2,625","1,007",684,150,140,944,"10,400",
Apr-25,April,2025,Male,Number of clients who have experienced family and domestic violence,"2,164","3,804","1,448",783,324,107,209,208,"9,041",
Apr-25,April,2025,Male,Number of clients with a current mental health issue,"2,920","3,341","1,739",529,712,375,307,110,"10,019",
Apr-25,April,2025,Male,Number of clients with problematic drug or alcohol issues,938,"1,350",584,347,226,137,100,62,"3,739",
Apr-25,April,2025,Male,Number of nights in short-term/emergency accommodation,"19,873","24,056","67,111","10,279","2,242","5,487","2,567","1,579","133,194",
Apr-25,April,2025,Male,Number of clients accommodated in short-term/emergency accommodation,915,"1,785","2,866",656,132,287,118,117,"6,871",
Apr-25,April,2025,Male,Number of clients who are homeless,"5,039","6,627","5,426","1,553","1,333",626,383,663,"21,603",
Apr-25,April,2025,Male,Number of clients who are at risk of homelessness,"3,746","5,672","2,533",863,"1,176",373,433,454,"15,233",
Apr-25,April,2025,Total,Number of Indigenous clients,"8,038","4,965","6,870","3,301","1,787",382,346,"2,934","28,565",
Apr-25,April,2025,Total,Number of clients who have experienced family and domestic violence,"8,818","14,773","5,559","3,840","1,599",497,810,"1,162","37,000",
Apr-25,April,2025,Total,Number of clients with a current mental health issue,"8,282","9,087","4,603","2,016","1,953",915,824,315,"27,946",
Apr-25,April,2025,Total,Number of clients with problematic drug or alcohol issues,"1,852","2,406","1,110",869,458,219,194,142,"7,242",
Apr-25,April,2025,Total,Number of nights in short-term/emergency accommodation,"49,791","56,775","160,598","23,134","6,156","12,491","7,448","4,008","320,401",
Apr-25,April,2025,Total,Number of clients accommodated in short-term/emergency accommodation,"2,273","3,849","6,781","1,685",388,624,311,485,"16,384",
Apr-25,April,2025,Total,Number of clients who are homeless,"12,438","14,868","12,493","3,871","3,002","1,386",935,"1,567","50,446",
Apr-25,April,2025,Total,Number of clients who are at risk of homelessness,"10,734","16,621","7,143","3,641","3,301",791,975,"1,580","44,718",
Mar-25,March,2025,Female,Number of Indigenous clients,"5,232","3,077","4,395","2,359","1,159",244,187,"2,097","18,709",
Mar-25,March,2025,Female,Number of clients who have experienced family and domestic violence,"6,763","10,965","4,205","3,080","1,263",398,589,981,"28,179",
Mar-25,March,2025,Female,Number of clients with a current mental health issue,"5,474","5,779","2,933","1,504","1,283",566,519,221,"18,246",
Mar-25,March,2025,Female,Number of clients with problematic drug or alcohol issues,917,"1,052",554,540,235,89,90,90,"3,564",
Mar-25,March,2025,Female,Number of clients financially assisted with payments for short term/emergency accommodation,131,"1,023","1,164",81,50,46,21,21,"2,536",
Mar-25,March,2025,Female,Number of nights in short-term/emergency accommodation,"31,002","34,406","92,973","13,926","4,651","6,752","5,198","3,095","192,003",
Mar-25,March,2025,Female,Number of clients accommodated in short-term/emergency accommodation,"1,477","2,242","3,927","1,064",257,331,185,455,"9,932",
Mar-25,March,2025,Female,Number of clients who are homeless,"7,628","8,424","7,139","2,344","1,690",774,554,902,"29,402",
Mar-25,March,2025,Female,Number of clients who are at risk of homelessness,"7,084","11,109","4,741","2,832","2,148",466,535,"1,260","30,112",
Mar-25,March,2025,Male,Number of Indigenous clients,"2,980","1,967","2,640","1,039",711,161,133,"1,022","10,643",
Mar-25,March,2025,Male,Number of clients who have experienced family and domestic violence,"2,236","3,871","1,457",794,301,109,205,217,"9,185",
Mar-25,March,2025,Male,Number of clients with a current mental health issue,"2,910","3,422","1,738",547,703,403,304,103,"10,118",
Mar-25,March,2025,Male,Number of clients with problematic drug or alcohol issues,925,"1,355",590,381,233,157,101,58,"3,796",
Mar-25,March,2025,Male,Number of clients financially assisted with payments for short term/emergency accommodation,42,863,605,19,11,20,6,2,"1,567",
Mar-25,March,2025,Male,Number of nights in short-term/emergency accommodation,"19,810","25,114","67,327","11,182","2,470","5,551","2,859","1,712","136,025",
Mar-25,March,2025,Male,Number of clients accommodated in short-term/emergency accommodation,965,"1,926","2,867",686,147,294,113,128,"7,124",
Mar-25,March,2025,Male,Number of clients who are homeless,"5,199","6,815","5,416","1,630","1,378",648,399,670,"22,115",
Mar-25,March,2025,Male,Number of clients who are at risk of homelessness,"3,813","5,764","2,610",883,"1,187",414,428,537,"15,610",
Mar-25,March,2025,Total,Number of Indigenous clients,"8,212","5,044","7,035","3,398","1,870",405,320,"3,119","29,352",
Mar-25,March,2025,Total,Number of clients who have experienced family and domestic violence,"8,999","14,836","5,662","3,874","1,564",507,794,"1,198","37,364",
Mar-25,March,2025,Total,Number of clients with a current mental health issue,"8,384","9,201","4,671","2,051","1,986",969,823,324,"28,364",
Mar-25,March,2025,Total,Number of clients with problematic drug or alcohol issues,"1,842","2,407","1,144",921,468,246,191,148,"7,360",
Mar-25,March,2025,Total,Number of clients financially assisted with payments for short term/emergency accommodation,173,"1,886","1,769",100,61,66,27,23,"4,103",
Mar-25,March,2025,Total,Number of nights in short-term/emergency accommodation,"50,812","59,520","160,300","25,108","7,121","12,303","8,057","4,807","328,028",
Mar-25,March,2025,Total,Number of clients accommodated in short-term/emergency accommodation,"2,442","4,168","6,794","1,750",404,625,298,583,"17,056",
Mar-25,March,2025,Total,Number of clients who are homeless,"12,827","15,239","12,555","3,974","3,068","1,422",953,"1,572","51,517",
Mar-25,March,2025,Total,Number of clients who are at risk of homelessness,"10,897","16,873","7,351","3,715","3,335",880,963,"1,797","45,722",
Feb-25,February,2025,Female,Number of Indigenous clients,"5,054","3,069","4,329","2,340","1,139",256,187,"1,996","18,324",
Feb-25,February,2025,Female,Number of clients who have experienced family and domestic violence,"6,655","10,719","4,147","3,092","1,209",410,573,970,"27,715",
Feb-25,February,2025,Female,Number of clients with a current mental health issue,"5,348","5,634","2,976","1,513","1,285",591,507,221,"18,049",
Feb-25,February,2025,Female,Number of clients with problematic drug or alcohol issues,869,"1,035",552,551,226,91,94,95,"3,512",
Feb-25,February,2025,Female,Number of clients financially assisted with payments for short term/emergency accommodation,117,"1,013","1,201",94,58,47,15,24,"2,569",
