Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
May-24,May,2024,Total,Financial,Financial difficulties,"8,120","12,066","7,648","2,685",840,692,933,852,"33,800"
May-24,May,2024,Total,Financial,Housing affordability stress,"8,263","10,841","7,997","2,258","1,061","1,095",976,507,"32,973"
May-24,May,2024,Total,Financial,Employment difficulties,"1,052","1,400",702,474,160,62,204,108,"4,161"
May-24,May,2024,Total,Financial,Unemployment,"2,510","3,178","1,846","1,016",542,181,307,236,"9,813"
May-24,May,2024,Total,Interpersonal,Interpersonal Relationships,"11,718","17,485","7,025","4,641","2,143","1,125","1,067","1,412","46,552"
May-24,May,2024,Total,Interpersonal,Time out from family/other situation,"2,190","2,161","1,429",848,117,312,255,348,"7,655"
May-24,May,2024,Total,Interpersonal,Relationship/family breakdown,"5,387","5,183","3,161","1,694",728,623,705,285,"17,748"
May-24,May,2024,Total,Interpersonal,Family and domestic violence,"8,087","14,160","4,738","3,611","1,438",559,692,"1,118","34,365"
May-24,May,2024,Total,Interpersonal,Non-family violence,473,631,301,111,38,104,47,30,"1,734"
May-24,May,2024,Total,Health,Health,"5,558","6,721","3,558","1,892","1,623",839,774,288,"21,224"
May-24,May,2024,Total,Health,Mental health issues,"4,452","5,007","2,342","1,219","1,199",625,629,105,"15,558"
May-24,May,2024,Total,Health,Medical issues,"1,692","2,422","1,532",647,589,329,246,105,"7,557"
May-24,May,2024,Total,Health,Problematic drug or substance use,"1,211","1,849",564,460,272,113,173,40,"4,680"
May-24,May,2024,Total,Health,Problematic alcohol use,551,640,306,306,141,75,81,102,"2,201"
May-24,May,2024,Total,Other,Other,"6,953","8,721","5,181","2,911","1,519","1,036",807,740,"27,830"
May-24,May,2024,Total,Other,Transition from custodial arrangements,526,"1,196",198,86,233,62,69,41,"2,410"
May-24,May,2024,Total,Other,Transition from other care arrangements,201,239,120,76,35,50,51,13,785
May-24,May,2024,Total,Other,Itinerant,674,806,455,472,221,62,6,59,"2,751"
May-24,May,2024,Total,Other,Unable to return home due to environmental reasons,485,336,356,138,150,98,77,21,"1,661"
May-24,May,2024,Total,Other,Lack of family and/or community support,"4,729","5,033","3,201","1,767",723,700,486,339,"16,956"
May-24,May,2024,Total,Other,Other (not elsewhere classified),"1,275","2,112","1,619",731,122,205,265,326,"6,655"
May-24,May,2024,Total,Not stated,Not stated,224,184,88,66,1,34,12,11,619
May-24,May,2024,Total,Total,Total Clients,"24,610","33,456","17,964","7,954","7,019","2,634","1,958","3,258","98,666"
Apr-24,April,2024,Female,Accommodation,Accommodation,"7,854","8,971","6,003","1,961","2,873","1,082",697,849,"30,241"
Apr-24,April,2024,Female,Accommodation,Housing crisis (e.g. eviction),"5,379","5,894","3,890","1,104","2,062",659,482,243,"19,696"
Apr-24,April,2024,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"2,796","4,397","2,980","1,071",649,527,297,637,"13,344"
Apr-24,April,2024,Female,Accommodation,Previous accommodation ended,"2,065","2,536","1,815",625,348,392,169,81,"8,022"
Apr-24,April,2024,Female,Financial,Financial,"6,936","9,305","5,883","2,176","1,105",738,734,600,"27,435"
Apr-24,April,2024,Female,Financial,Financial difficulties,"4,680","7,099","4,286","1,653",466,390,544,412,"19,507"
Apr-24,April,2024,Female,Financial,Housing affordability stress,"4,785","6,368","4,497","1,352",584,642,566,282,"19,067"
Apr-24,April,2024,Female,Financial,Employment difficulties,526,737,335,243,78,33,94,32,"2,076"
Apr-24,April,2024,Female,Financial,Unemployment,"1,290","1,650",962,534,258,88,153,94,"5,026"
Apr-24,April,2024,Female,Interpersonal,Interpersonal Relationships,"7,808","11,985","4,605","3,496","1,510",742,669,"1,091","31,866"
Apr-24,April,2024,Female,Interpersonal,Time out from family/other situation,"1,361","1,262",869,652,78,166,178,254,"4,818"
Apr-24,April,2024,Female,Interpersonal,Relationship/family breakdown,"3,320","3,230","1,906","1,246",487,388,436,200,"11,203"
Apr-24,April,2024,Female,Interpersonal,Family and domestic violence,"5,832","10,220","3,364","2,831","1,045",427,498,906,"25,097"
Apr-24,April,2024,Female,Interpersonal,Non-family violence,300,412,197,92,24,65,25,35,"1,149"
Apr-24,April,2024,Female,Health,Health,"3,149","3,677","1,969","1,230",891,472,431,141,"11,948"
Apr-24,April,2024,Female,Health,Mental health issues,"2,611","2,873","1,365",840,707,372,365,65,"9,187"
Apr-24,April,2024,Female,Health,Medical issues,884,"1,349",816,405,298,186,125,53,"4,116"
Apr-24,April,2024,Female,Health,Problematic drug or substance use,614,802,285,243,106,49,94,25,"2,216"
Apr-24,April,2024,Female,Health,Problematic alcohol use,236,256,154,166,64,24,29,34,963
Apr-24,April,2024,Female,Other,Other,"3,896","4,521","2,955","1,814",753,593,387,437,"15,342"
Apr-24,April,2024,Female,Other,Transition from custodial arrangements,188,192,105,33,48,15,34,12,627
Apr-24,April,2024,Female,Other,Transition from other care arrangements,109,127,62,48,21,19,19,11,416
Apr-24,April,2024,Female,Other,Itinerant,237,322,215,234,122,39,3,26,"1,198"
Apr-24,April,2024,Female,Other,Unable to return home due to environmental reasons,256,202,207,85,94,60,40,15,959
Apr-24,April,2024,Female,Other,Lack of family and/or community support,"2,773","2,989","1,876","1,175",372,439,276,181,"10,075"
Apr-24,April,2024,Female,Other,Other (not elsewhere classified),827,"1,134",878,454,74,89,62,232,"3,750"
Apr-24,April,2024,Female,Not stated,Not stated,141,98,53,38,1,14,4,7,356
Apr-24,April,2024,Female,Total,Total Clients,"14,585","20,049","10,224","5,223","4,112","1,505","1,059","2,122","58,769"
Apr-24,April,2024,Male,Accommodation,Accommodation,"5,483","7,006","4,353","1,287","2,136",836,490,661,"22,218"
Apr-24,April,2024,Male,Accommodation,Housing crisis (e.g. eviction),"3,636","4,408","2,768",698,"1,525",421,334,136,"13,914"
Apr-24,April,2024,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"1,991","3,616","2,182",786,538,439,217,493,"10,251"
Apr-24,April,2024,Male,Accommodation,Previous accommodation ended,"1,582","2,033","1,214",392,247,349,133,101,"6,047"
Apr-24,April,2024,Male,Financial,Financial,"4,720","6,399","4,022","1,287",870,565,501,535,"18,877"
Apr-24,April,2024,Male,Financial,Financial difficulties,"3,128","4,738","2,887",988,333,320,380,371,"13,130"
Apr-24,April,2024,Male,Financial,Housing affordability stress,"3,256","4,387","3,017",889,436,469,403,238,"13,087"
Apr-24,April,2024,Male,Financial,Employment difficulties,445,657,307,234,89,28,91,64,"1,914"
Apr-24,April,2024,Male,Financial,Unemployment,"1,036","1,429",775,473,315,96,140,136,"4,399"
Apr-24,April,2024,Male,Interpersonal,Interpersonal Relationships,"3,423","4,954","2,062","1,153",537,385,335,326,"13,163"
Apr-24,April,2024,Male,Interpersonal,Time out from family/other situation,780,865,464,277,38,140,90,101,"2,753"
Apr-24,April,2024,Male,Interpersonal,Relationship/family breakdown,"1,846","1,902","1,018",454,255,231,230,53,"5,985"
Apr-24,April,2024,Male,Interpersonal,Family and domestic violence,"1,887","3,481","1,215",750,276,118,171,220,"8,113"
Apr-24,April,2024,Male,Interpersonal,Non-family violence,188,215,86,35,12,34,15,11,596
Apr-24,April,2024,Male,Health,Health,"2,169","2,963","1,427",685,728,372,284,143,"8,761"
Apr-24,April,2024,Male,Health,Mental health issues,"1,675","2,096",874,383,472,255,216,55,"6,020"
Apr-24,April,2024,Male,Health,Medical issues,700,"1,039",634,286,293,133,95,59,"3,236"
Apr-24,April,2024,Male,Health,Problematic drug or substance use,579,"1,026",269,199,170,69,74,20,"2,406"
Apr-24,April,2024,Male,Health,Problematic alcohol use,287,394,148,127,89,49,37,49,"1,180"
Apr-24,April,2024,Male,Other,Other,"2,859","3,979","2,021","1,132",709,444,361,270,"11,764"
Apr-24,April,2024,Male,Other,Transition from custodial arrangements,321,907,88,45,169,55,37,29,"1,651"
Apr-24,April,2024,Male,Other,Transition from other care arrangements,83,122,65,31,16,29,23,4,373
Apr-24,April,2024,Male,Other,Itinerant,390,449,206,270,110,48,6,30,"1,508"
Apr-24,April,2024,Male,Other,Unable to return home due to environmental reasons,178,127,132,45,51,30,27,10,600
Apr-24,April,2024,Male,Other,Lack of family and/or community support,"1,659","1,995","1,196",615,311,259,184,123,"6,336"
Apr-24,April,2024,Male,Other,Other (not elsewhere classified),606,892,633,273,36,93,125,97,"2,754"
Apr-24,April,2024,Male,Not stated,Not stated,123,97,20,21,0,21,6,5,293
Apr-24,April,2024,Male,Total,Total Clients,"9,441","12,705","6,723","2,639","2,865","1,191",819,"1,170","37,483"
Apr-24,April,2024,Total,Accommodation,Accommodation,"13,337","15,977","10,356","3,248","5,009","1,918","1,187","1,510","52,459"
Apr-24,April,2024,Total,Accommodation,Housing crisis (e.g. eviction),"9,015","10,302","6,658","1,802","3,587","1,080",816,379,"33,610"
Apr-24,April,2024,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"4,787","8,013","5,162","1,857","1,187",966,514,"1,130","23,595"
Apr-24,April,2024,Total,Accommodation,Previous accommodation ended,"3,647","4,569","3,029","1,017",595,741,302,182,"14,069"
Apr-24,April,2024,Total,Financial,Financial,"11,656","15,704","9,905","3,463","1,975","1,303","1,235","1,135","46,312"
Apr-24,April,2024,Total,Financial,Financial difficulties,"7,808","11,837","7,173","2,641",799,710,924,783,"32,637"
Apr-24,April,2024,Total,Financial,Housing affordability stress,"8,041","10,755","7,514","2,241","1,020","1,111",969,520,"32,154"
Apr-24,April,2024,Total,Financial,Employment difficulties,971,"1,394",642,477,167,61,185,96,"3,990"
Apr-24,April,2024,Total,Financial,Unemployment,"2,326","3,079","1,737","1,007",573,184,293,230,"9,425"
Apr-24,April,2024,Total,Interpersonal,Interpersonal Relationships,"11,231","16,939","6,667","4,649","2,047","1,127","1,004","1,417","45,029"
Apr-24,April,2024,Total,Interpersonal,Time out from family/other situation,"2,141","2,127","1,333",929,116,306,268,355,"7,571"
Apr-24,April,2024,Total,Interpersonal,Relationship/family breakdown,"5,166","5,132","2,924","1,700",742,619,666,253,"17,188"
Apr-24,April,2024,Total,Interpersonal,Family and domestic violence,"7,719","13,701","4,579","3,581","1,321",545,669,"1,126","33,210"
Apr-24,April,2024,Total,Interpersonal,Non-family violence,488,627,283,127,36,99,40,46,"1,745"
Apr-24,April,2024,Total,Health,Health,"5,318","6,640","3,396","1,915","1,619",844,715,284,"20,709"
Apr-24,April,2024,Total,Health,Mental health issues,"4,286","4,969","2,239","1,223","1,179",627,581,120,"15,207"
Apr-24,April,2024,Total,Health,Medical issues,"1,584","2,388","1,450",691,591,319,220,112,"7,352"
Apr-24,April,2024,Total,Health,Problematic drug or substance use,"1,193","1,828",554,442,276,118,168,45,"4,622"
Apr-24,April,2024,Total,Health,Problematic alcohol use,523,650,302,293,153,73,66,83,"2,143"
Apr-24,April,2024,Total,Other,Other,"6,755","8,500","4,976","2,946","1,462","1,037",748,707,"27,106"
Apr-24,April,2024,Total,Other,Transition from custodial arrangements,509,"1,099",193,78,217,70,71,41,"2,278"
Apr-24,April,2024,Total,Other,Transition from other care arrangements,192,249,127,79,37,48,42,15,789
Apr-24,April,2024,Total,Other,Itinerant,627,771,421,504,232,87,9,56,"2,706"
Apr-24,April,2024,Total,Other,Unable to return home due to environmental reasons,434,329,339,130,145,90,67,25,"1,559"
Apr-24,April,2024,Total,Other,Lack of family and/or community support,"4,432","4,984","3,072","1,790",683,698,460,304,"16,411"
Apr-24,April,2024,Total,Other,Other (not elsewhere classified),"1,433","2,026","1,511",727,110,182,187,329,"6,504"
Apr-24,April,2024,Total,Not stated,Not stated,264,195,73,59,1,35,10,12,649
Apr-24,April,2024,Total,Total,Total Clients,"24,026","32,754","16,947","7,862","6,977","2,696","1,878","3,292","96,252"
Mar-24,March,2024,Female,Accommodation,Accommodation,"7,799","8,820","5,994","1,899","2,833","1,078",702,856,"29,934"
Mar-24,March,2024,Female,Accommodation,Housing crisis (e.g. eviction),"5,370","5,724","3,837","1,086","2,027",652,478,253,"19,409"
Mar-24,March,2024,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"2,755","4,366","2,961","1,019",665,533,304,640,"13,233"
Mar-24,March,2024,Female,Accommodation,Previous accommodation ended,"1,991","2,531","1,806",609,311,394,177,80,"7,893"
Mar-24,March,2024,Female,Financial,Financial,"7,030","9,271","5,863","2,065","1,049",753,744,579,"27,316"
Mar-24,March,2024,Female,Financial,Financial difficulties,"4,724","7,099","4,263","1,568",467,414,556,380,"19,448"
Mar-24,March,2024,Female,Financial,Housing affordability stress,"4,825","6,326","4,404","1,294",536,653,574,297,"18,892"
Mar-24,March,2024,Female,Financial,Employment difficulties,537,726,342,220,83,34,94,32,"2,067"
Mar-24,March,2024,Female,Financial,Unemployment,"1,266","1,646",948,504,270,84,151,103,"4,971"
Mar-24,March,2024,Female,Interpersonal,Interpersonal Relationships,"7,795","12,003","4,523","3,430","1,577",768,686,"1,080","31,817"
Mar-24,March,2024,Female,Interpersonal,Time out from family/other situation,"1,318","1,269",894,579,66,169,179,256,"4,728"
Mar-24,March,2024,Female,Interpersonal,Relationship/family breakdown,"3,300","3,212","1,881","1,215",471,384,462,167,"11,081"
Mar-24,March,2024,Female,Interpersonal,Family and domestic violence,"5,871","10,195","3,251","2,785","1,133",444,517,883,"25,048"
Mar-24,March,2024,Female,Interpersonal,Non-family violence,281,422,199,89,26,64,30,24,"1,135"
Mar-24,March,2024,Female,Health,Health,"3,152","3,750","1,931","1,185",894,499,436,140,"11,978"
Mar-24,March,2024,Female,Health,Mental health issues,"2,626","2,888","1,342",845,695,395,370,63,"9,215"
Mar-24,March,2024,Female,Health,Medical issues,889,"1,354",791,369,307,198,125,57,"4,090"
Mar-24,March,2024,Female,Health,Problematic drug or substance use,592,840,272,235,121,52,101,24,"2,235"
Mar-24,March,2024,Female,Health,Problematic alcohol use,231,252,147,166,59,27,31,31,944
Mar-24,March,2024,Female,Other,Other,"3,821","4,527","2,902","1,717",757,592,392,434,"15,131"
Mar-24,March,2024,Female,Other,Transition from custodial arrangements,196,212,98,32,46,21,29,11,645
Mar-24,March,2024,Female,Other,Transition from other care arrangements,120,127,70,42,22,21,19,12,433
Mar-24,March,2024,Female,Other,Itinerant,210,272,203,213,132,50,2,21,"1,103"
Mar-24,March,2024,Female,Other,Unable to return home due to environmental reasons,250,204,196,84,89,53,43,22,941
Mar-24,March,2024,Female,Other,Lack of family and/or community support,"2,740","2,986","1,878","1,116",361,440,281,177,"9,972"
Mar-24,March,2024,Female,Other,Other (not elsewhere classified),784,"1,149",858,436,78,88,70,229,"3,692"
Mar-24,March,2024,Female,Not stated,Not stated,125,106,51,32,1,12,5,8,340
Mar-24,March,2024,Female,Total,Total Clients,"14,598","19,977","10,146","5,033","4,100","1,522","1,090","2,107","58,468"
Mar-24,March,2024,Male,Accommodation,Accommodation,"5,407","6,907","4,293","1,299","2,082",847,491,638,"21,934"
Mar-24,March,2024,Male,Accommodation,Housing crisis (e.g. eviction),"3,589","4,331","2,719",712,"1,459",419,333,125,"13,677"
Mar-24,March,2024,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"1,883","3,619","2,165",784,532,450,224,486,"10,135"
Mar-24,March,2024,Male,Accommodation,Previous accommodation ended,"1,530","2,073","1,251",414,248,352,136,96,"6,097"
Mar-24,March,2024,Male,Financial,Financial,"4,733","6,471","3,978","1,308",810,560,504,498,"18,837"
Mar-24,March,2024,Male,Financial,Financial difficulties,"3,168","4,738","2,905",999,325,324,386,332,"13,163"
Mar-24,March,2024,Male,Financial,Housing affordability stress,"3,249","4,415","2,934",903,396,465,406,233,"12,993"
Mar-24,March,2024,Male,Financial,Employment difficulties,441,616,286,216,91,29,97,61,"1,835"
Mar-24,March,2024,Male,Financial,Unemployment,992,"1,436",731,455,306,95,147,140,"4,301"
Mar-24,March,2024,Male,Interpersonal,Interpersonal Relationships,"3,432","4,930","2,027","1,138",577,394,345,314,"13,150"
Mar-24,March,2024,Male,Interpersonal,Time out from family/other situation,784,861,491,249,36,133,92,99,"2,743"
Mar-24,March,2024,Male,Interpersonal,Relationship/family breakdown,"1,870","1,859",994,462,267,238,242,51,"5,980"
Mar-24,March,2024,Male,Interpersonal,Family and domestic violence,"1,909","3,451","1,162",743,304,119,177,205,"8,068"
Mar-24,March,2024,Male,Interpersonal,Non-family violence,156,214,80,28,12,37,17,6,550
Mar-24,March,2024,Male,Health,Health,"2,161","2,995","1,384",688,727,371,297,139,"8,753"
Mar-24,March,2024,Male,Health,Mental health issues,"1,655","2,110",850,396,456,246,227,57,"5,991"
Mar-24,March,2024,Male,Health,Medical issues,695,"1,007",625,289,293,141,100,56,"3,205"
Mar-24,March,2024,Male,Health,Problematic drug or substance use,563,"1,057",257,198,165,67,72,16,"2,395"
Mar-24,March,2024,Male,Health,Problematic alcohol use,292,409,142,122,81,48,39,49,"1,180"
Mar-24,March,2024,Male,Other,Other,"2,716","4,074","1,977","1,100",709,457,369,281,"11,672"
Mar-24,March,2024,Male,Other,Transition from custodial arrangements,316,"1,042",91,55,166,57,32,34,"1,793"
Mar-24,March,2024,Male,Other,Transition from other care arrangements,95,122,62,32,14,30,21,7,383
Mar-24,March,2024,Male,Other,Itinerant,425,417,203,257,106,53,6,29,"1,495"
Mar-24,March,2024,Male,Other,Unable to return home due to environmental reasons,163,132,117,45,44,30,26,12,569
Mar-24,March,2024,Male,Other,Lack of family and/or community support,"1,589","2,035","1,189",612,304,266,201,124,"6,316"
Mar-24,March,2024,Male,Other,Other (not elsewhere classified),503,865,603,243,45,95,126,95,"2,574"
Mar-24,March,2024,Male,Not stated,Not stated,111,93,28,25,0,17,5,3,281
Mar-24,March,2024,Male,Total,Total Clients,"9,334","12,749","6,660","2,608","2,789","1,198",823,"1,156","37,248"
Mar-24,March,2024,Total,Accommodation,Accommodation,"13,206","15,727","10,287","3,198","4,915","1,925","1,193","1,494","51,868"
Mar-24,March,2024,Total,Accommodation,Housing crisis (e.g. eviction),"8,959","10,055","6,556","1,798","3,486","1,071",811,378,"33,086"
Mar-24,March,2024,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"4,638","7,985","5,126","1,803","1,197",983,528,"1,126","23,368"
Mar-24,March,2024,Total,Accommodation,Previous accommodation ended,"3,521","4,604","3,057","1,023",559,746,313,176,"13,990"
Mar-24,March,2024,Total,Financial,Financial,"11,763","15,742","9,841","3,373","1,859","1,313","1,248","1,077","46,153"
Mar-24,March,2024,Total,Financial,Financial difficulties,"7,892","11,837","7,168","2,567",792,738,942,712,"32,611"
Mar-24,March,2024,Total,Financial,Housing affordability stress,"8,074","10,741","7,338","2,197",932,"1,118",980,530,"31,885"
Mar-24,March,2024,Total,Financial,Employment difficulties,978,"1,342",628,436,174,63,191,93,"3,902"
Mar-24,March,2024,Total,Financial,Unemployment,"2,258","3,082","1,679",959,576,179,298,243,"9,272"
Mar-24,March,2024,Total,Interpersonal,Interpersonal Relationships,"11,227","16,933","6,550","4,568","2,154","1,162","1,031","1,394","44,967"
Mar-24,March,2024,Total,Interpersonal,Time out from family/other situation,"2,102","2,130","1,385",828,102,302,271,355,"7,471"
Mar-24,March,2024,Total,Interpersonal,Relationship/family breakdown,"5,170","5,071","2,875","1,677",738,622,704,218,"17,061"
Mar-24,March,2024,Total,Interpersonal,Family and domestic violence,"7,780","13,646","4,413","3,528","1,437",563,694,"1,088","33,116"
Mar-24,March,2024,Total,Interpersonal,Non-family violence,437,636,279,117,38,101,47,30,"1,685"
Mar-24,March,2024,Total,Health,Health,"5,313","6,745","3,315","1,873","1,621",870,733,279,"20,731"
Mar-24,March,2024,Total,Health,Mental health issues,"4,281","4,998","2,192","1,241","1,151",641,597,120,"15,206"
Mar-24,March,2024,Total,Health,Medical issues,"1,584","2,361","1,416",658,600,339,225,113,"7,295"
Mar-24,March,2024,Total,Health,Problematic drug or substance use,"1,155","1,897",529,433,286,119,173,40,"4,630"
Mar-24,March,2024,Total,Health,Problematic alcohol use,523,661,289,288,140,75,70,80,"2,124"
Mar-24,March,2024,Total,Other,Other,"6,537","8,601","4,879","2,817","1,466","1,049",761,715,"26,803"
Mar-24,March,2024,Total,Other,Transition from custodial arrangements,512,"1,254",189,87,212,78,61,45,"2,438"
Mar-24,March,2024,Total,Other,Transition from other care arrangements,215,249,132,74,36,51,40,19,816
Mar-24,March,2024,Total,Other,Itinerant,635,689,406,470,238,103,8,50,"2,598"
Mar-24,March,2024,Total,Other,Unable to return home due to environmental reasons,413,336,313,129,133,83,69,34,"1,510"
Mar-24,March,2024,Total,Other,Lack of family and/or community support,"4,329","5,021","3,067","1,728",665,706,482,301,"16,288"
Mar-24,March,2024,Total,Other,Other (not elsewhere classified),"1,287","2,014","1,461",679,123,183,196,324,"6,266"
Mar-24,March,2024,Total,Not stated,Not stated,236,199,79,57,1,29,10,11,621
Mar-24,March,2024,Total,Total,Total Clients,"23,932","32,726","16,806","7,641","6,889","2,720","1,913","3,263","95,716"
Feb-24,February,2024,Female,Accommodation,Accommodation,"7,809","8,851","5,952","1,980","2,813","1,064",698,906,"30,018"
Feb-24,February,2024,Female,Accommodation,Housing crisis (e.g. eviction),"5,384","5,705","3,811","1,134","2,009",627,470,270,"19,388"
Feb-24,February,2024,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"2,749","4,360","2,992","1,064",647,542,320,682,"13,343"
Feb-24,February,2024,Female,Accommodation,Previous accommodation ended,"2,014","2,604","1,800",629,305,397,191,90,"8,025"
Feb-24,February,2024,Female,Financial,Financial,"6,969","9,381","5,824","2,178","1,053",715,728,594,"27,400"
Feb-24,February,2024,Female,Financial,Financial difficulties,"4,657","7,196","4,279","1,655",458,398,535,368,"19,516"
Feb-24,February,2024,Female,Financial,Housing affordability stress,"4,792","6,338","4,305","1,351",543,633,552,329,"18,825"
Feb-24,February,2024,Female,Financial,Employment difficulties,518,770,340,239,75,36,91,34,"2,103"
Feb-24,February,2024,Female,Financial,Unemployment,"1,264","1,714",956,529,282,78,147,104,"5,072"
Feb-24,February,2024,Female,Interpersonal,Interpersonal Relationships,"7,875","12,206","4,517","3,530","1,621",747,669,"1,119","32,222"
Feb-24,February,2024,Female,Interpersonal,Time out from family/other situation,"1,327","1,316",902,625,69,172,180,242,"4,831"
Feb-24,February,2024,Female,Interpersonal,Relationship/family breakdown,"3,302","3,311","1,869","1,197",450,389,439,188,"11,134"
Feb-24,February,2024,Female,Interpersonal,Family and domestic violence,"5,962","10,338","3,239","2,861","1,192",428,506,914,"25,396"
Feb-24,February,2024,Female,Interpersonal,Non-family violence,298,405,196,98,28,65,33,27,"1,150"
Feb-24,February,2024,Female,Health,Health,"3,138","3,785","1,953","1,250",900,486,424,162,"12,084"
Feb-24,February,2024,Female,Health,Mental health issues,"2,612","2,951","1,352",840,702,380,363,69,"9,260"
Feb-24,February,2024,Female,Health,Medical issues,864,"1,341",801,370,300,197,118,52,"4,043"
Feb-24,February,2024,Female,Health,Problematic drug or substance use,590,886,279,236,126,52,97,29,"2,291"
Feb-24,February,2024,Female,Health,Problematic alcohol use,215,264,154,204,57,28,28,50,"1,000"
Feb-24,February,2024,Female,Other,Other,"3,888","4,661","2,926","1,769",754,582,392,458,"15,418"
Feb-24,February,2024,Female,Other,Transition from custodial arrangements,195,231,99,28,46,17,25,13,654
Feb-24,February,2024,Female,Other,Transition from other care arrangements,114,132,70,39,24,20,16,13,428
Feb-24,February,2024,Female,Other,Itinerant,218,324,192,231,134,50,1,22,"1,172"
Feb-24,February,2024,Female,Other,Unable to return home due to environmental reasons,250,211,192,84,86,43,42,36,944
Feb-24,February,2024,Female,Other,Lack of family and/or community support,"2,789","3,014","1,938","1,174",345,427,287,208,"10,175"
Feb-24,February,2024,Female,Other,Other (not elsewhere classified),826,"1,225",856,445,80,91,70,224,"3,817"
Feb-24,February,2024,Female,Not stated,Not stated,108,86,72,31,1,14,5,8,324
Feb-24,February,2024,Female,Total,Total Clients,"14,557","20,141","10,147","5,212","4,171","1,499","1,080","2,161","58,850"
Feb-24,February,2024,Male,Accommodation,Accommodation,"5,383","6,962","4,270","1,341","2,105",863,493,673,"22,055"
Feb-24,February,2024,Male,Accommodation,Housing crisis (e.g. eviction),"3,581","4,351","2,752",755,"1,472",429,335,128,"13,789"
Feb-24,February,2024,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"1,900","3,698","2,152",770,540,443,236,519,"10,254"
Feb-24,February,2024,Male,Accommodation,Previous accommodation ended,"1,495","2,148","1,227",414,234,351,131,99,"6,097"
Feb-24,February,2024,Male,Financial,Financial,"4,668","6,635","3,956","1,331",810,556,492,484,"18,913"
Feb-24,February,2024,Male,Financial,Financial difficulties,"3,128","4,888","2,902","1,018",327,327,371,318,"13,266"
Feb-24,February,2024,Male,Financial,Housing affordability stress,"3,179","4,464","2,883",916,397,461,389,248,"12,932"
Feb-24,February,2024,Male,Financial,Employment difficulties,417,674,278,239,92,28,94,62,"1,884"
Feb-24,February,2024,Male,Financial,Unemployment,960,"1,495",706,479,314,104,140,129,"4,326"
Feb-24,February,2024,Male,Interpersonal,Interpersonal Relationships,"3,435","4,990","1,998","1,148",585,393,327,305,"13,171"
Feb-24,February,2024,Male,Interpersonal,Time out from family/other situation,761,879,499,267,34,140,89,85,"2,754"
Feb-24,February,2024,Male,Interpersonal,Relationship/family breakdown,"1,828","1,966",990,471,249,246,230,56,"6,034"
Feb-24,February,2024,Male,Interpersonal,Family and domestic violence,"1,933","3,453","1,149",730,325,109,173,212,"8,082"
Feb-24,February,2024,Male,Interpersonal,Non-family violence,157,233,85,29,13,44,14,6,581
Feb-24,February,2024,Male,Health,Health,"2,152","3,097","1,395",697,698,385,280,144,"8,841"
Feb-24,February,2024,Male,Health,Mental health issues,"1,658","2,224",868,397,438,259,216,52,"6,107"
Feb-24,February,2024,Male,Health,Medical issues,664,"1,054",618,286,290,147,98,60,"3,215"
Feb-24,February,2024,Male,Health,Problematic drug or substance use,560,"1,069",277,196,161,56,68,18,"2,405"
Feb-24,February,2024,Male,Health,Problematic alcohol use,276,426,154,136,81,54,33,54,"1,212"
Feb-24,February,2024,Male,Other,Other,"2,762","4,256","1,951","1,115",674,474,368,295,"11,885"
Feb-24,February,2024,Male,Other,Transition from custodial arrangements,347,"1,069",98,46,169,61,32,38,"1,860"
Feb-24,February,2024,Male,Other,Transition from other care arrangements,91,127,68,31,14,25,23,7,386
Feb-24,February,2024,Male,Other,Itinerant,421,457,193,252,111,54,4,30,"1,522"
Feb-24,February,2024,Male,Other,Unable to return home due to environmental reasons,133,155,109,41,44,29,26,9,546
Feb-24,February,2024,Male,Other,Lack of family and/or community support,"1,625","2,085","1,203",626,268,272,198,130,"6,401"
Feb-24,February,2024,Male,Other,Other (not elsewhere classified),525,952,603,254,51,108,128,99,"2,720"
Feb-24,February,2024,Male,Not stated,Not stated,109,69,39,24,0,18,5,3,267
Feb-24,February,2024,Male,Total,Total Clients,"9,259","12,886","6,652","2,618","2,831","1,215",817,"1,188","37,399"
Feb-24,February,2024,Total,Accommodation,Accommodation,"13,192","15,813","10,222","3,321","4,918","1,927","1,191","1,579","52,073"
Feb-24,February,2024,Total,Accommodation,Housing crisis (e.g. eviction),"8,965","10,056","6,563","1,889","3,481","1,056",805,398,"33,177"
Feb-24,February,2024,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"4,649","8,058","5,144","1,834","1,187",985,556,"1,201","23,597"
Feb-24,February,2024,Total,Accommodation,Previous accommodation ended,"3,509","4,752","3,027","1,043",539,748,322,189,"14,122"
Feb-24,February,2024,Total,Financial,Financial,"11,637","16,016","9,780","3,509","1,863","1,271","1,220","1,078","46,313"
Feb-24,February,2024,Total,Financial,Financial difficulties,"7,785","12,084","7,181","2,673",785,725,906,686,"32,782"
