Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
Jun-25,June,2025,Male,Other,Lack of family and/or community support,"1,760","2,219","1,510",481,223,173,222,166,"6,749"
Jun-25,June,2025,Male,Other,Other (not elsewhere classified),448,999,618,180,44,102,151,137,"2,679"
Jun-25,June,2025,Male,Total,Total Clients,"9,348","13,042","7,932","2,583","2,559","1,087",837,"1,040","38,363"
Jun-25,June,2025,Total,Accommodation,Accommodation,"13,513","15,469","12,739","3,193","4,621","1,561","1,295","1,286","53,587"
Jun-25,June,2025,Total,Accommodation,Housing crisis (e.g. eviction),"8,809","9,645","8,059","1,787","3,691",868,890,374,"34,094"
Jun-25,June,2025,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"5,105","8,189","6,409","1,713",806,805,604,848,"24,451"
Jun-25,June,2025,Total,Accommodation,Previous accommodation ended,"3,595","4,258","3,665",964,283,586,333,210,"13,885"
Jun-25,June,2025,Total,Financial,Financial,"11,610","15,564","11,609","3,273","1,832","1,062","1,395",828,"47,111"
Jun-25,June,2025,Total,Financial,Financial difficulties,"7,701","11,608","8,380","2,327",981,621,953,497,"33,038"
Jun-25,June,2025,Total,Financial,Housing affordability stress,"7,944","10,512","9,296","2,120",698,858,"1,147",433,"32,979"
Jun-25,June,2025,Total,Financial,Employment difficulties,"1,039","1,308",860,324,169,61,215,67,"4,042"
Jun-25,June,2025,Total,Financial,Unemployment,"2,360","3,143","2,280",859,606,142,338,184,"9,903"
Jun-25,June,2025,Total,Interpersonal,Interpersonal Relationships,"11,899","17,833","7,846","4,761","2,088","1,003","1,125","1,309","47,790"
Jun-25,June,2025,Total,Interpersonal,Time out from family/other situation,"2,019","2,141","1,427",849,104,260,308,239,"7,341"
Jun-25,June,2025,Total,Interpersonal,Relationship/family breakdown,"5,444","5,052","3,495","1,710",657,563,694,223,"17,826"
Jun-25,June,2025,Total,Interpersonal,Family and domestic violence,"8,410","14,520","5,348","3,739","1,471",491,727,"1,088","35,736"
Jun-25,June,2025,Total,Interpersonal,Non-family violence,473,611,275,130,67,73,43,48,"1,719"
Jun-25,June,2025,Total,Health,Health,"5,740","6,853","3,885","1,983","1,741",659,734,256,"21,832"
Jun-25,June,2025,Total,Health,Mental health issues,"4,457","5,131","2,503","1,199","1,272",473,560,95,"15,677"
Jun-25,June,2025,Total,Health,Medical issues,"1,859","2,682","1,699",682,670,218,285,100,"8,193"
Jun-25,June,2025,Total,Health,Problematic drug or substance use,"1,234","1,786",582,483,268,122,129,53,"4,657"
Jun-25,June,2025,Total,Health,Problematic alcohol use,527,642,380,347,126,68,66,69,"2,223"
Jun-25,June,2025,Total,Other,Other,"7,001","9,125","5,886","2,447","1,284",749,854,961,"28,282"
Jun-25,June,2025,Total,Other,Transition from custodial arrangements,576,"1,321",216,94,179,74,59,31,"2,548"
Jun-25,June,2025,Total,Other,Transition from other care arrangements,225,290,150,92,23,47,37,23,887
Jun-25,June,2025,Total,Other,Unable to return home due to environmental reasons,477,431,416,122,97,45,93,14,"1,695"
Jun-25,June,2025,Total,Other,Lack of family and/or community support,"4,826","5,253","3,820","1,516",582,432,592,450,"17,456"
Jun-25,June,2025,Total,Other,Other (not elsewhere classified),"1,164","2,405","1,592",594,134,201,234,428,"6,752"
